frame_index,frame_number_1based,integrated_time_s,raw_std
0,1,0.013783,0.295376
1,2,0.027566,0.359942
2,3,0.041350,0.457640
3,4,0.055133,0.365650
4,5,0.068916,0.406080
5,6,0.082699,0.218932
6,7,0.096482,0.350030
7,8,0.110265,0.179508
8,9,0.124049,0.375431
9,10,0.137832,0.292727
10,11,0.151615,0.217574
11,12,0.165398,0.260638
12,13,0.179181,0.499300
13,14,0.192964,0.205120
14,15,0.206748,0.417252
15,16,0.220531,0.425538
16,17,0.234314,0.284964
17,18,0.248097,0.465338
18,19,0.261880,0.330190
19,20,0.275663,0.254642
20,21,0.289447,0.304625
21,22,0.303230,0.317681
22,23,0.317013,0.270754
23,24,0.330796,0.273785
24,25,0.344579,0.122088
25,26,0.358362,0.448436
26,27,0.372146,0.382777
27,28,0.385929,0.330485
28,29,0.399712,0.279969
29,30,0.413495,0.185992
30,31,0.427278,0.191460
31,32,0.441062,0.211507
32,33,0.454845,0.259839
33,34,0.468628,0.325901
34,35,0.482411,0.268848
35,36,0.496194,0.453739
36,37,0.509977,0.370401
37,38,0.523761,0.237255
38,39,0.537544,0.167118
39,40,0.551327,0.333513
40,41,0.565110,0.347405
41,42,0.578893,0.420663
42,43,0.592676,0.366663
43,44,0.606460,0.440163
44,45,0.620243,0.356860
45,46,0.634026,0.241008
46,47,0.647809,0.219962
47,48,0.661592,0.251226
48,49,0.675375,0.144640
49,50,0.689159,0.395690
50,51,0.702942,0.310235
51,52,0.716725,0.310583
52,53,0.730508,0.270637
53,54,0.744291,0.091127
54,55,0.758074,0.254075
55,56,0.771858,0.215802
56,57,0.785641,0.233118
57,58,0.799424,0.198921
58,59,0.813207,0.388122
59,60,0.826990,0.302916
60,61,0.840774,0.229956
61,62,0.854557,0.200258
62,63,0.868340,0.383926
63,64,0.882123,0.387130
64,65,0.895906,0.383017
65,66,0.909689,0.317971
66,67,0.923473,0.286019
67,68,0.937256,0.429248
68,69,0.951039,0.155598
69,70,0.964822,0.274074
70,71,0.978605,0.402430
71,72,0.992388,0.495630
72,73,1.006172,0.328344
73,74,1.019955,0.282071
74,75,1.033738,0.229748
75,76,1.047521,0.267695
76,77,1.061304,0.266846
77,78,1.075087,0.335677
78,79,1.088871,0.398242
79,80,1.102654,0.482349
80,81,1.116437,0.109494
81,82,1.130220,0.208489
82,83,1.144003,0.320533
83,84,1.157786,0.233872
84,85,1.171570,0.239262
85,86,1.185353,0.239838
86,87,1.199136,0.322954
87,88,1.212919,0.227657
88,89,1.226702,0.336946
89,90,1.240485,0.370022
90,91,1.254269,0.361814
91,92,1.268052,0.455458
92,93,1.281835,0.252970
93,94,1.295618,0.470806
94,95,1.309401,0.196970
95,96,1.323185,0.319902
96,97,1.336968,0.306725
97,98,1.350751,0.272757
98,99,1.364534,0.350744
99,100,1.378317,0.262581
100,101,1.392100,0.472311
101,102,1.405884,0.155797
102,103,1.419667,0.326842
103,104,1.433450,0.227943
104,105,1.447233,0.168874
