pair_index,label,diagonal_offset,critical_score,mean_correlation,global_mean_correlation,peak_abs_amplitude
0,"(1,1)-(8,8)",7,0.000000,-0.000000,0.000000,0.000000
25,"(6,6)-(8,8)",2,0.000000,-0.000000,0.000000,0.000000
10,"(2,5)-(5,8)",3,0.000000,0.000000,0.000000,0.000000
44,"(6,5)-(8,7)",2,0.000000,-0.000000,0.000000,0.000000
11,"(2,6)-(4,8)",2,0.000000,0.000000,0.000000,0.000000
46,"(7,6)-(8,7)",1,0.000000,-0.000000,0.000000,0.000000
27,"(7,7)-(8,8)",1,0.000000,-0.000000,0.000000,0.000000
31,"(5,1)-(8,4)",3,0.000000,0.000000,0.000000,0.000000
