pair,averaging_frames,tau_s,allan_deviation,allan_variance,overlapping_terms,deviation_unit
"(4,4)-(8,8)",1,0.013783172186792841,12.102026776499791,146.45905209911794,4472575,urad^2
"(4,4)-(8,8)",2,0.027566344373585683,8.552660916634775,73.148008754932,4472573,urad^2
"(4,4)-(8,8)",3,0.041349516560378524,6.983106349891736,48.76377429389829,4472571,urad^2
"(4,4)-(8,8)",4,0.055132688747171366,6.045767994495998,36.55131064327216,4472569,urad^2
"(4,4)-(8,8)",5,0.06891586093396421,5.406960977599292,29.235227013281488,4472567,urad^2
"(4,4)-(8,8)",6,0.08269903312075705,4.937227008215107,24.3762105306487,4472565,urad^2
"(4,4)-(8,8)",7,0.09648220530754989,4.572456893229334,20.90736204044045,4472563,urad^2
"(4,4)-(8,8)",9,0.12404854968113557,4.0349159179410545,16.280546464854105,4472559,urad^2
"(4,4)-(8,8)",10,0.13783172186792841,3.8290916126153283,14.661942577801057,4472557,urad^2
"(4,4)-(8,8)",11,0.15161489405472126,3.651698635763811,13.334902926439279,4472555,urad^2
"(4,4)-(8,8)",13,0.17918123842830694,3.3606061180174933,11.293673480456606,4472551,urad^2
"(4,4)-(8,8)",15,0.20674758280189262,3.1303789618754747,9.799272444952575,4472547,urad^2
"(4,4)-(8,8)",18,0.24809709936227115,2.8604070635037186,8.181928568941967,4472541,urad^2
"(4,4)-(8,8)",20,0.27566344373585683,2.715869900201375,7.375949314819825,4472537,urad^2
"(4,4)-(8,8)",23,0.3170129602962354,2.5358104212359494,6.430334492448844,4472531,urad^2
"(4,4)-(8,8)",27,0.37214564904340675,2.3430993098867243,5.490114375991644,4472523,urad^2
"(4,4)-(8,8)",31,0.4272783377905781,2.1892223730408644,4.792694598622673,4472515,urad^2
"(4,4)-(8,8)",36,0.4961941987245423,2.033854761268133,4.136565189933053,4472505,urad^2
"(4,4)-(8,8)",41,0.5651100596585065,1.9075907260161387,3.638902377982779,4472495,urad^2
