tau_s,mean_allan_deviation,pair_count,deviation_unit,source
0.013783172186792841,11.26702125880082,9,urad^2,raw_frame_nominal_timing
0.027566344373585683,7.963010463092502,9,urad^2,raw_frame_nominal_timing
0.041349516560378524,6.502126700685254,9,urad^2,raw_frame_nominal_timing
0.055132688747171366,5.62891206676334,9,urad^2,raw_frame_nominal_timing
0.06891586093396421,5.034418546129046,9,urad^2,raw_frame_nominal_timing
0.08269903312075705,4.596968711904,9,urad^2,raw_frame_nominal_timing
0.09648220530754989,4.257356584135163,9,urad^2,raw_frame_nominal_timing
0.12404854968113557,3.756736152964253,9,urad^2,raw_frame_nominal_timing
0.13783172186792841,3.5652785662396687,9,urad^2,raw_frame_nominal_timing
0.15161489405472126,3.4001194921184665,9,urad^2,raw_frame_nominal_timing
0.17918123842830694,3.1289236826297806,9,urad^2,raw_frame_nominal_timing
0.20674758280189262,2.914182484648771,9,urad^2,raw_frame_nominal_timing
0.24809709936227115,2.662082213916422,9,urad^2,raw_frame_nominal_timing
0.27566344373585683,2.5268886587037573,9,urad^2,raw_frame_nominal_timing
0.3170129602962354,2.3586067343857993,9,urad^2,raw_frame_nominal_timing
0.37214564904340675,2.1789365367261957,9,urad^2,raw_frame_nominal_timing
0.4272783377905781,2.035416770049598,9,urad^2,raw_frame_nominal_timing
0.4961941987245423,1.8905775898213244,9,urad^2,raw_frame_nominal_timing
0.5651100596585065,1.7729328362284829,9,urad^2,raw_frame_nominal_timing
0.6478090927792636,1.6576826218673137,9,urad^2,raw_frame_nominal_timing
0.7442912980868135,1.5487659287930688,9,urad^2,raw_frame_nominal_timing
0.8545566755811562,1.448007332296782,9,urad^2,raw_frame_nominal_timing
0.9923883974490846,1.347659856139756,9,urad^2,raw_frame_nominal_timing
1.007657534253667,1.3357005183450368,9,urad^2,long_term_binned_profile_timing
2.015315068507334,0.9694307391657992,9,urad^2,long_term_binned_profile_timing
3.0229726027610013,0.7979129455358742,9,urad^2,long_term_binned_profile_timing
4.030630137014668,0.6909910409889729,9,urad^2,long_term_binned_profile_timing
5.0382876712683355,0.6182687707610653,9,urad^2,long_term_binned_profile_timing
6.045945205522003,0.5655571657524618,9,urad^2,long_term_binned_profile_timing
7.05360273977567,0.5247612697970206,9,urad^2,long_term_binned_profile_timing
9.068917808283004,0.46443359118851446,9,urad^2,long_term_binned_profile_timing
10.076575342536671,0.4411384136337263,9,urad^2,long_term_binned_profile_timing
12.091890411044005,0.4043528901508887,9,urad^2,long_term_binned_profile_timing
14.10720547955134,0.37644001096496976,9,urad^2,long_term_binned_profile_timing
16.122520548058674,0.3535609207167921,9,urad^2,long_term_binned_profile_timing
19.145493150819675,0.32583625978092773,9,urad^2,long_term_binned_profile_timing
22.168465753580676,0.30306121944530745,9,urad^2,long_term_binned_profile_timing
25.191438356341678,0.2832432313040089,9,urad^2,long_term_binned_profile_timing
29.222068493356346,0.26119663112124913,9,urad^2,long_term_binned_profile_timing
34.26035616462468,0.23891787926991695,9,urad^2,long_term_binned_profile_timing
40.306301370146684,0.21762470170662612,9,urad^2,long_term_binned_profile_timing
46.35224657566869,0.20157417601479982,9,urad^2,long_term_binned_profile_timing
54.413506849698024,0.18695444725221336,9,urad^2,long_term_binned_profile_timing
62.47476712372736,0.17534460330195872,9,urad^2,long_term_binned_profile_timing
72.55134246626403,0.16283872617420797,9,urad^2,long_term_binned_profile_timing
84.64323287730804,0.15164643136010086,9,urad^2,long_term_binned_profile_timing
97.74278082260571,0.1409721927300103,9,urad^2,long_term_binned_profile_timing
113.86530137066438,0.1295546402250244,9,urad^2,long_term_binned_profile_timing
132.0031369872304,0.11954180523931887,9,urad^2,long_term_binned_profile_timing
153.1639452065574,0.11193783244385082,9,urad^2,long_term_binned_profile_timing
177.3477260286454,0.10368699552468032,9,urad^2,long_term_binned_profile_timing
205.5621369877481,0.09729743619534326,9,urad^2,long_term_binned_profile_timing
238.8148356181191,0.09197210354508079,9,urad^2,long_term_binned_profile_timing
276.0981643855048,0.08842873401598357,9,urad^2,long_term_binned_profile_timing
320.43509589266614,0.08480510963875815,9,urad^2,long_term_binned_profile_timing
371.82563013960316,0.08246366251952703,9,urad^2,long_term_binned_profile_timing
431.2774246605695,0.08060337006641828,9,urad^2,long_term_binned_profile_timing
499.7981369898189,0.07792451636980166,9,urad^2,long_term_binned_profile_timing
579.4030821958586,0.07276942020763133,9,urad^2,long_term_binned_profile_timing
672.107575347196,0.06546635386754175,9,urad^2,long_term_binned_profile_timing
778.9192739780847,0.05746683489759431,9,urad^2,long_term_binned_profile_timing
902.8611506912857,0.054259753081568364,9,urad^2,long_term_binned_profile_timing
1046.9561780895601,0.04646876770525045,9,urad^2,long_term_binned_profile_timing
1214.2273287756689,0.03539941883442715,9,urad^2,long_term_binned_profile_timing
