tau_s,mean_allan_deviation,pair_count,deviation_unit,source
0.013783172186792841,41.3846306545541,9,urad^2,raw_frame_nominal_timing
0.027566344373585683,32.30535269872483,9,urad^2,raw_frame_nominal_timing
0.041349516560378524,30.850477645183485,9,urad^2,raw_frame_nominal_timing
0.055132688747171366,32.30562524360204,9,urad^2,raw_frame_nominal_timing
0.06891586093396421,35.11369177961177,9,urad^2,raw_frame_nominal_timing
0.08269903312075705,38.61529033410815,9,urad^2,raw_frame_nominal_timing
0.09648220530754989,42.47050261391407,9,urad^2,raw_frame_nominal_timing
0.12404854968113557,50.668737006866735,9,urad^2,raw_frame_nominal_timing
0.13783172186792841,54.85046621344846,9,urad^2,raw_frame_nominal_timing
0.15161489405472126,59.0204337382583,9,urad^2,raw_frame_nominal_timing
0.17918123842830694,67.23475658397668,9,urad^2,raw_frame_nominal_timing
0.20674758280189262,75.18809463911929,9,urad^2,raw_frame_nominal_timing
0.24809709936227115,86.48076805160295,9,urad^2,raw_frame_nominal_timing
0.27566344373585683,93.53928659058252,9,urad^2,raw_frame_nominal_timing
0.3170129602962354,103.40186481028624,9,urad^2,raw_frame_nominal_timing
0.37214564904340675,115.2123089802374,9,urad^2,raw_frame_nominal_timing
0.4272783377905781,125.5681189844466,9,urad^2,raw_frame_nominal_timing
0.4961941987245423,136.64944208294898,9,urad^2,raw_frame_nominal_timing
0.5651100596585065,145.9074713949727,9,urad^2,raw_frame_nominal_timing
0.6478090927792636,154.9794771441937,9,urad^2,raw_frame_nominal_timing
0.7442912980868135,163.27269152694132,9,urad^2,raw_frame_nominal_timing
0.8545566755811562,170.4237205138589,9,urad^2,raw_frame_nominal_timing
0.9923883974490846,176.8950081860961,9,urad^2,raw_frame_nominal_timing
1.0076849315155414,177.77010202937686,9,urad^2,long_term_binned_profile_timing
2.015369863031083,189.5625474365405,9,urad^2,long_term_binned_profile_timing
3.023054794546624,172.11102512312152,9,urad^2,long_term_binned_profile_timing
4.030739726062166,142.34349764549128,9,urad^2,long_term_binned_profile_timing
5.038424657577707,116.77321172427212,9,urad^2,long_term_binned_profile_timing
6.046109589093248,99.46358549678182,9,urad^2,long_term_binned_profile_timing
7.05379452060879,91.61439682159602,9,urad^2,long_term_binned_profile_timing
8.061479452124331,86.75912607719621,9,urad^2,long_term_binned_profile_timing
9.069164383639873,82.20460251198014,9,urad^2,long_term_binned_profile_timing
10.076849315155414,78.19963059822055,9,urad^2,long_term_binned_profile_timing
11.084534246670955,75.61785601514202,9,urad^2,long_term_binned_profile_timing
12.092219178186497,73.98578940068647,9,urad^2,long_term_binned_profile_timing
13.099904109702038,71.80158617900987,9,urad^2,long_term_binned_profile_timing
14.10758904121758,69.67354165067292,9,urad^2,long_term_binned_profile_timing
15.115273972733121,67.49653411476122,9,urad^2,long_term_binned_profile_timing
16.122958904248662,65.31795989128875,9,urad^2,long_term_binned_profile_timing
18.138328767279745,62.018378347407356,9,urad^2,long_term_binned_profile_timing
19.146013698795286,60.775562229943844,9,urad^2,long_term_binned_profile_timing
21.16138356182637,58.77922981772903,9,urad^2,long_term_binned_profile_timing
23.176753424857452,55.16719208727358,9,urad^2,long_term_binned_profile_timing
25.192123287888535,51.890238067349365,9,urad^2,long_term_binned_profile_timing
27.207493150919618,49.26477690213199,9,urad^2,long_term_binned_profile_timing
29.2228630139507,46.97228398262582,9,urad^2,long_term_binned_profile_timing
32.245917808497325,44.542915191527676,9,urad^2,long_term_binned_profile_timing
34.26128767152841,42.83900046482797,9,urad^2,long_term_binned_profile_timing
37.28434246607503,41.63292712469251,9,urad^2,long_term_binned_profile_timing
40.307397260621656,39.579353386308476,9,urad^2,long_term_binned_profile_timing
44.33813698668382,36.32257086473555,9,urad^2,long_term_binned_profile_timing
48.36887671274599,33.57943095566009,9,urad^2,long_term_binned_profile_timing
52.39961643880815,30.664691139477082,9,urad^2,long_term_binned_profile_timing
56.43035616487032,29.01059589908334,9,urad^2,long_term_binned_profile_timing
61.468780822448025,27.301653351775922,9,urad^2,long_term_binned_profile_timing
66.50720548002573,25.916130581470416,9,urad^2,long_term_binned_profile_timing
72.55331506911898,25.294827299531164,9,urad^2,long_term_binned_profile_timing
78.59942465821223,24.721789589366477,9,urad^2,long_term_binned_profile_timing
84.64553424730548,23.929330483621644,9,urad^2,long_term_binned_profile_timing
91.69932876791427,23.48034099881469,9,urad^2,long_term_binned_profile_timing
99.7608082200386,23.822211629020256,9,urad^2,long_term_binned_profile_timing
107.82228767216293,24.023777910181792,9,urad^2,long_term_binned_profile_timing
117.89913698731834,23.31537563495505,9,urad^2,long_term_binned_profile_timing
