time_s,Tmax_K,Tavg_K
0,293.001403604633,293.000000813456
1e-05,294.075898998594,293.000853091996
2e-05,294.82119911614,293.001695371056
3e-05,295.391453079961,293.002523734887
4e-05,295.786944293722,293.003338180775
5e-05,296.15267787669,293.004138831771
6e-05,296.440525225694,293.004925647501
7e-05,296.650390329485,293.005698627887
8e-05,296.782273188061,293.006457772927
9e-05,296.887318225656,293.007141380199
0.0001,296.992375271669,293.007824919891
0.00011,297.097432317682,293.008508459582
0.00012,297.202489363696,293.009191999272
0.00013,297.307546409709,293.009875538964
0.00014,297.412603455722,293.010559078655
0.00015,297.517660501736,293.011242618345
0.00016,297.622717547749,293.011926158037
0.00017,297.665481019065,293.012500007205
0.00018,297.708184131773,293.013073750091
0.00019,297.750887244482,293.013647492976
0.0002,297.793590357191,293.014221235861
0.00021,297.836293469899,293.014794978745
0.00022,297.878996582607,293.01536872163
0.00023,297.921699695316,293.015942464516
0.00024,297.964402808025,293.016516207401
0.00025,298.007105920733,293.017089950287
0.00026,298.049809033442,293.017663693172
0.00027,298.09251214615,293.018237436057
0.00028,298.135215258859,293.018811178942
0.00029,298.177918371567,293.019384921827
0.0003,298.220621484276,293.019958664712
0.00031,298.263324596984,293.020532407597
0.00032,298.306027709693,293.021106150483
0.00033,298.320004025535,293.021525055107
0.00034,298.333953427904,293.021943814668
0.00035,298.347902830273,293.022362574229
0.00036,298.361852232642,293.022781333788
0.00037,298.375801635012,293.023200093348
0.00038,298.389751037381,293.02361885291
0.00039,298.40370043975,293.024037612469
0.0004,298.417649842119,293.024456372029
0.00041,298.431599244489,293.02487513159
0.00042,298.445548646858,293.02529389115
0.00043,298.459498049227,293.025712650711
0.00044,298.473447451596,293.026131410271
0.00045,298.487396853965,293.026550169831
0.00046,298.501346256335,293.026968929392
0.00047,298.515295658704,293.027387688951
0.00048,298.529245061073,293.027806448511
0.00049,298.543194463442,293.028225208072
0.0005,298.557143865812,293.028643967633
0.00051,298.571093268181,293.029062727193
0.00052,298.58504267055,293.029481486753
0.00053,298.598992072919,293.029900246314
0.00054,298.612941475288,293.030319005874
0.00055,298.626890877658,293.030737765434
0.00056,298.640840280027,293.031156524994
0.00057,298.654789682396,293.031575284555
0.00058,298.668739084765,293.031994044115
0.00059,298.682688487135,293.032412803676
0.0006,298.696637889504,293.032831563236
0.00061,298.710587291873,293.033250322795
0.00062,298.724536694242,293.033669082356
0.00063,298.738486096611,293.034087841917
0.00064,298.752435498981,293.034506601476
0.00065,298.759476706031,293.034798466575
0.00066,298.766511883876,293.035090220925
0.00067,298.773547061722,293.035381975275
0.00068,298.780582239568,293.035673729624
0.00069,298.787617417414,293.035965483974
