tap_index,coefficient
0,-5.85072077799069e-19
1,-5.118338250153405e-05
2,-6.20330196022765e-05
3,-1.5320853723553713e-05
4,7.199118453578206e-05
5,0.00015787624320055008
6,0.00019913573431499455
7,0.00017638206902387897
8,0.00010558610701106237
9,2.9221060810793555e-05
10,-8.225246699326732e-06
11,1.36102279258234e-05
12,7.843557035966819e-05
13,0.00014206588121795904
14,0.00015790492873271828
15,0.0001046514012409876
16,-3.1771071292914985e-18
17,-0.00010817523888601771
18,-0.00016870908034028142
19,-0.00015687254212906648
20,-8.949865953855143e-05
21,-1.6044459171134147e-05
22,1.0015050975806192e-05
23,-3.673771837602819e-05
24,-0.00013701944909660924
25,-0.0002361658394847591
26,-0.0002749847991986158
27,-0.00022473228333269506
28,-0.00010558285387553089
29,2.313788707266845e-05
30,9.641350739812002e-05
31,8.181885128654704e-05
32,-8.411538482398519e-19
33,-8.571211230494931e-05
34,-0.00010580288233464774
35,-2.6596107242016836e-05
36,0.00012710672058323526
37,0.0002833018092473975
38,0.0003629204731028951
39,0.0003262353820459126
40,0.00019805324670132
41,5.554623618448576e-05
42,-1.5833531025478397e-05
43,2.6512701427916976e-05
44,0.00015450933347836352
45,0.0002828020339092602
46,0.00031742634037596265
47,0.0002123031749816944
48,2.3646438298463e-18
49,-0.00022306132522138241
50,-0.0003504054584078928
51,-0.00032798589277903027
52,-0.00018825606271788634
53,-3.393430230044111e-05
54,2.128700656358692e-05
55,-7.843258175647039e-05
56,-0.0002936797214138903
57,-0.0005079371372519923
58,-0.0005932061594301026
59,-0.00048604733486583545
60,-0.00022884620921578158
61,5.0239027484809646e-05
62,0.00020963380100721791
63,0.00017808606443744525
64,-1.570413031399621e-18
65,-0.0001867668410878071
66,-0.0002305679308179806
67,-5.7948526774536644e-05
68,0.00027682301044993046
69,0.0006165749379479524
70,0.0007891346791152015
71,0.000708566610304119
72,0.0004295904566329177
73,0.00012030104256536151
74,-3.423413869328245e-05
75,5.721800579274079e-05
76,0.00033278672739680155
77,0.0006078084456515627
78,0.000680683424974313
79,0.0004541781840797124
80,-1.261050063631374e-17
81,-0.0004747823838186716
82,-0.000743844191562767
83,-0.0006943401715629433
84,-0.0003974117822585466
85,-7.142942801043396e-05
86,4.467599168279989e-05
87,-0.0001641176243766547
88,-0.0006126496938027122
89,-0.0010563571392114349
90,-0.0012298563624073959
91,-0.0010045299562598206
92,-0.0004714692910264332
93,0.00010317347222003435
94,0.00042913992406326394
95,0.00036339065530658824
96,-2.6618265273932594e-18
97,-0.0003786594504131911
98,-0.00046596141019825566
99,-0.00011673388596712442
100,0.0005558568824909825
101,0.0012341185923414604
102,0.0015744812339532639
103,0.0014092516245965583
104,0.0008517088388217189
105,0.0002377621350626778
106,-6.74494572409506e-05
107,0.00011238473555024055
108,0.0006516385097157668
109,0.0011865469070786476
110,0.0013248074919508886
111,0.0008813246351174884
112,-5.4882009996600596e-18
113,-0.0009159010285087824
114,-0.001430801182712599
115,-0.0013317655829157796
116,-0.0007600981937563161
117,-0.00013623708164420606
118,8.49762787420128e-05
119,-0.00031131541334754195
120,-0.0011590347003216726
121,-0.001993200944311106
122,-0.002314559858555627
