pair_index,label,diagonal_offset,critical_score,mean_correlation,global_mean_correlation,peak_abs_amplitude
25,"(6,6)-(8,8)",2,0.000000,-0.000000,-0.000000,0.000000
22,"(5,5)-(8,8)",3,0.000000,-0.000000,-0.000000,0.000000
4,"(1,5)-(4,8)",3,0.000000,0.000000,-0.000000,0.000000
5,"(1,6)-(3,8)",2,0.000000,0.000000,-0.000000,0.000000
3,"(1,4)-(5,8)",4,0.000000,0.000000,-0.000000,0.000000
44,"(6,5)-(8,7)",2,0.000000,-0.000000,-0.000000,0.000000
23,"(5,6)-(7,8)",2,0.000000,-0.000000,-0.000000,0.000000
31,"(5,1)-(8,4)",3,0.000000,0.000000,-0.000000,0.000000
