Offset_Hz,Frequency_Hz,TwoTapDelaySamples,NormalizedFirAttenuation_dB
-25947.5708008,75974052.429199219,8,-59.3913419443
-25802.6123047,75974197.387695312,8,-59.4400024991
-25657.6538086,75974342.346191406,8,-59.4889371996
-25512.6953125,75974487.3046875,8,-59.5381491522
-25367.7368164,75974632.263183594,8,-59.5876415165
-25222.7783203,75974777.221679688,8,-59.6374175065
-25077.8198242,75974922.180175781,8,-59.6874803915
-24932.8613281,75975067.138671875,8,-59.737833498
-24787.902832,75975212.097167969,8,-59.7884802105
-24642.9443359,75975357.055664062,8,-59.839423973
-24497.9858398,75975502.014160156,8,-59.8906682907
-24353.0273438,75975646.97265625,8,-59.9422167309
-24208.0688477,75975791.931152344,8,-59.9940729251
-24063.1103516,75975936.889648438,8,-60.0462405699
-23918.1518555,75976081.848144531,8,-60.0987234293
-23773.1933594,75976226.806640625,8,-60.1515253355
-23628.2348633,75976371.765136719,8,-60.2046501914
-23483.2763672,75976516.723632812,8,-60.2581019717
-23338.3178711,75976661.682128906,8,-60.3118847251
-23193.359375,75976806.640625,8,-60.366002576
