wavelength_nm,dispersion_ps_per_nm_km,gdd_fiber_fs2,gdd_sf11_rod_fs2,gdd_total_fs2,tod_fiber_fs3,pulse_duration_fiber_ps,pulse_duration_fiber_sf11_rod_ps,best_grating_l_eff_cm,best_pulse_duration_grating_fiber_ps
750.0,-167.0,2551769.577782487,0.0,2551769.577782487,843413.3427977469,58.95851839583693,58.95851839583693,74.0,7.3778934595175825
751.0,-166.365245871445,2548922.429454273,0.0,2548922.429454273,852848.4689757129,58.89273543770007,58.89273543770007,74.0,7.052874721072605
752.0,-165.73285682538335,2546069.0049224957,0.0,2546069.0049224957,856205.9288048551,58.8268074690765,58.8268074690765,74.0,6.726582768459465
753.0,-165.10317546659297,2543214.6393212024,0.0,2543214.6393212024,857958.9931381958,58.760857757482995,58.760857757482995,74.0,6.399136659184846
754.0,-164.47654439985172,2540364.723318976,0.0,2540364.723318976,858078.0337992236,58.69501085355161,58.69501085355161,74.0,6.0706568620733306
755.0,-163.85330622993757,2537524.7033006903,0.0,2537524.7033006903,856533.1553817778,58.62939259522896,58.62939259522896,74.0,5.741265305447277
756.0,-163.23380356162846,2534700.081549268,0.0,2534700.081549268,853294.1939320567,58.56413011197582,58.56413011197582,74.0,5.41108544146571
757.0,-162.6183789997022,2531896.4164274335,0.0,2531896.4164274335,848330.7156259323,58.4993518289664,58.4993518289664,74.0,5.080242333972162
758.0,-162.00737514893677,2529119.3225594824,0.0,2529119.3225594824,841612.0154449817,58.435187471288074,58.435187471288074,74.0,4.748862781287687
759.0,-161.40113461411005,2526374.471013024,0.0,2526374.471013024,833107.1158492415,58.37176806814057,58.37176806814057,74.0,4.417075492213492
760.0,-160.8,2523667.5894807507,0.0,2523667.5894807507,823124.7962607648,58.3092259570357,58.3092259570357,74.0,4.085011345299895
761.0,-160.20416905883505,2521002.237286337,0.0,2521002.237286337,813349.8262507772,58.24764337562691,58.24764337562691,74.0,3.7527523963455103
762.0,-159.61326013264582,2518373.0832236577,0.0,2518373.0832236577,805509.990024766,58.18689714714762,58.18689714714762,74.0,3.4201773003379565
763.0,-159.02674671091356,2515772.499132387,0.0,2515772.499132387,799989.4236371685,58.12681102403572,58.12681102403572,74.0,3.0871147099923024
764.0,-158.44410228311935,2513192.7731138263,0.0,2513192.7731138263,796832.6380126848,58.06720682396915,58.06720682396915,74.0,2.753396290680671
765.0,-157.8648003387444,2510626.109251593,0.0,2510626.109251593,796084.5517799816,58.007904423412455,58.007904423412455,74.0,2.4188602132920867
766.0,-157.2883143672699,2508064.627332288,0.0,2508064.627332288,797790.4932964979,57.94872175116283,57.94872175116283,74.0,2.083358082365584
767.0,-156.71411785817702,2505500.362566182,0.0,2505500.362566182,801996.202677019,57.889474781896745,57.889474781896745,74.0,1.7467699979726155
768.0,-156.14168430094696,2502925.2653078837,0.0,2502925.2653078837,808747.833826906,57.82997752971602,57.82997752971602,74.0,1.40904156117049
769.0,-155.57048718506093,2500331.2007770278,0.0,2500331.2007770278,818091.9564799577,57.77004204169441,57.77004204169441,74.0,1.0702918996681494
770.0,-155.0,2497709.948778939,0.0,2497709.948778939,829626.2388937369,57.70947839142382,57.70947839142382,74.0,0.7312248776395113
771.0,-154.42987789321478,2495056.067814953,0.0,2495056.067814953,841130.4392055615,57.64816085387081,57.64816085387081,74.0,0.39572738441912464
772.0,-153.86050264403332,2492375.547453106,0.0,2492375.547453106,850328.2809495821,57.586227817152775,57.586227817152775,74.0,0.12394600998548644
773.0,-153.29243768975292,2489677.319232118,0.0,2489677.319232118,856719.3500748866,57.52388564319297,57.52388564319297,73.54621848739495,0.12587151613311465
774.0,-152.726246467671,2486970.407412055,0.0,2486970.407412055,860252.0964126616,57.46134283622417,57.46134283622417,73.09243697478993,0.12888762852792054
775.0,-152.16249241508487,2484263.9292732375,0.0,2484263.9292732375,860874.5121195421,57.398810049694774,57.398810049694774,72.63865546218489,0.13344082800428803
776.0,-151.601738969292,2481567.095415157,0.0,2481567.095415157,858534.1294625818,57.33650009317515,57.33650009317515,72.18487394957984,0.1400581409425808
777.0,-151.04454956758968,2478889.2100553843,0.0,2478889.2100553843,853178.0185991282,57.274627939263816,57.274627939263816,71.73109243697479,0.14930797824612693
778.0,-150.49148764727536,2476239.671328485,0.0,2476239.671328485,844752.7853522858,57.21341073049375,57.21341073049375,71.27731092436976,0.16174744299207025
779.0,-149.9431166456463,2473627.971584931,0.0,2473627.971584931,833204.5689812592,57.153067786238765,57.153067786238765,70.82352941176471,0.1778733667276968
780.0,-149.4,2471063.697690017,0.0,2471063.697690017,818952.475280488,57.093820609619975,57.093820609619975,70.36974789915966,0.19809419863371985
781.0,-148.86251936830575,2468553.5901844944,0.0,2468553.5901844944,804330.7779360871,57.03582493983902,57.03582493983902,70.36974789915966,0.21749601764139107
