wavelength_nm,dispersion_ps_per_nm_km,gdd_fiber_fs2,gdd_sf11_rod_fs2,gdd_total_fs2,tod_fiber_fs3,pulse_duration_fiber_ps,pulse_duration_fiber_sf11_rod_ps
651,-233.11165572638313,2620564.4636861044,78609.62426448561,2699174.08795059,1069522.7680728112,72.657543595196,74.83706316798109
652,-231.9717709106554,2615767.9287426197,78401.17315746812,2694169.1019000877,1090340.6831849096,72.5245555344825,74.69829561331213
653,-230.83101614052066,2610895.0038709505,78193.85800080474,2689088.861871755,1110663.790375076,72.38944949771965,74.55744157767953
654,-229.68965366193527,2605948.39248734,77987.6686981745,2683936.0611855146,1130478.5648599782,72.25230043947485,74.41457573572414
655,-228.5479457208555,2600930.8341542515,77782.59537251899,2678713.4295267705,1149771.3328817883,72.11318431649997,74.26977377035077
656,-227.40615456323764,2595845.104719493,77578.62806962043,2673423.7327891137,1168528.2708412812,71.97217809158886,74.12311236836686
657,-226.264542435038,2590694.0164553444,77375.75700834079,2668069.773463685,1186735.404429284,71.82935973743446,73.97466923127786
658,-225.1233715822129,2585480.4181976817,77173.97261515315,2662654.3908128347,1204378.6077555348,71.68480824048629,73.82452308010211
659,-223.9829042507187,2580207.1954851057,76973.2653254173,2657180.460810523,1221443.6024755887,71.53860360480785,73.6727536537182
660,-222.84340268651158,2574877.2706980626,76773.62570533971,2651650.896403402,1237915.956915209,71.39082685593355,73.5194417161038
661,-221.7051291355479,2569493.6031979755,76575.04448616623,2646068.647684142,1253781.085192507,71.24156004472648,73.36466906114103
662,-220.56834584378404,2564059.189466368,76377.51242205073,2640436.7018884188,1269024.2463386697,71.09088625123547,73.20851851253306
663,-219.43331505717617,2558577.0632439866,76181.02039813479,2634758.0836421214,1283630.5434152777,70.9388895885524,73.05107393065794
664,-218.30029902168067,2553050.295669933,75985.55941994002,2629035.855089873,1297584.9226300383,70.78565520666963,72.89242021613201
665,-217.16955998325383,2547481.995420784,75791.12063418838,2623273.1160549726,1310867.6379034268,70.6312692963373,72.73264331424424
666,-216.04136348326296,2541875.3476225003,75597.6951981531,2617473.0428206534,1323331.0376274278,70.47582016792911,72.57183129020005
