wavelength_nm,dispersion_ps_per_nm_km,gdd_fiber_fs2,gdd_sf11_rod_fs2,gdd_total_fs2,tod_fiber_fs3,pulse_duration_fiber_ps,pulse_duration_fiber_sf11_rod_ps,best_grating_l_eff_cm,best_pulse_duration_grating_fiber_ps
600.0,-323.3,3147287.5860965857,0.0,3147287.5860965857,1073630.590796763,72.71788290332312,72.71788290332312,74.0,49.555640845524096
601.0,-321.6336494886627,3141621.5594820953,0.0,3141621.5594820953,1079682.9814292078,72.586970069469,72.586970069469,74.0,49.291368479394734
602.0,-319.98319913880033,3136019.185369522,0.0,3136019.185369522,1071320.5658555804,72.45752791931791,72.45752791931791,74.0,49.02795578183397
603.0,-318.34821559913786,3130477.543545691,0.0,3130477.543545691,1063452.773795204,72.32948898169353,72.32948898169353,74.0,48.76533286432148
604.0,-316.7282655184004,3124993.6633607494,0.0,3124993.6633607494,1056094.8491801568,72.20278462008785,72.20278462008785,74.0,48.50342866245521
605.0,-315.1229155453129,3119564.5234982623,0.0,3119564.5234982623,1049262.2290301842,72.07734502734917,72.07734502734917,74.0,48.24217093058214
606.0,-313.53173232860036,3114187.051745317,0.0,3114187.051745317,1042970.5447274197,71.95309922037052,71.95309922037052,74.0,47.981486236429
607.0,-311.9542825169878,3108858.1247626212,0.0,3108858.1247626212,1037235.6232951802,71.82997503477766,71.82997503477766,74.0,47.72129995573238
608.0,-310.3901327592002,3103574.5678546024,0.0,3103574.5678546024,1032073.488679725,71.70789911961751,71.70789911961751,74.0,47.46153626686853
609.0,-308.83884970396264,3098333.154739511,0.0,3098333.154739511,1027500.3630366453,71.58679693204611,71.58679693204611,74.0,47.20211814548311
610.0,-307.3,3093130.6073195143,0.0,3093130.6073195143,1023532.6680200519,71.46659273201699,71.46659273201699,74.0,46.94296735912013
611.0,-305.7731502960374,3087963.5954508036,0.0,3087963.5954508036,1020187.0260755086,71.34720957696935,71.34720957696935,74.0,46.68400446185109
612.0,-304.25786724079984,3082828.7367136907,0.0,3082828.7367136907,1017480.2617375875,71.2285693165163,71.2285693165163,74.0,46.425148788903236
613.0,-302.7537174830122,3077722.596182705,0.0,3077722.596182705,1015429.4029296329,71.11059258713294,71.11059258713294,74.0,46.16631845128791
614.0,-301.2602676713997,3072641.686196699,0.0,3072641.686196699,1014051.6822681748,70.99319880684475,70.99319880684475,74.0,45.90743033042836
615.0,-299.7770844546871,3067582.4661289463,0.0,3067582.4661289463,1013364.5383707939,70.87630616991568,70.87630616991568,74.0,45.64840007278731
616.0,-298.30373448159963,3062541.34215724,0.0,3062541.34215724,1013385.6171675237,70.75983164153646,70.75983164153646,74.0,45.38914208449401
617.0,-296.8397844008622,3057514.6670339946,0.0,3057514.6670339946,1014132.7732161504,70.64369095251277,70.64369095251277,74.0,45.12956952597121
