thermal_lens_f_mm,tem00_purity,higher_order_content,tem00,tem01,tem02,tem10,tem11,tem20
20.0,0.516622042465203,0.48337795753479695,0.516622042465203,1.030331357277153e-33,0.24168897876739853,1.5921365757557112e-35,2.189927632080346e-36,0.24168897876739848
260.0,0.5396855117968974,0.4603144882031026,0.5396855117968974,4.1213254291086117e-33,0.23015724410155128,3.610421231267598e-35,1.3696295705705202e-36,0.2301572441015514
500.0,0.6212825368455138,0.3787174631544862,0.6212825368455138,1.2121545379731203e-33,0.18935873157724303,6.865719062738381e-36,1.0727686035528722e-36,0.18935873157724306
