pair,signal_a,signal_b,band_low_hz,band_high_hz,fir_taps,integrated_psd_a_counts2,integrated_psd_b_counts2,integrated_cross_real_counts2,integrated_cross_imag_counts2,integrated_cross_abs_counts2,integrated_abs_cross_psd_sum_counts2,integrated_cross_phase_rad,integrated_correlation_magnitude
Data_1_ch1_x_Data_2_ch1_preview_2segments,Data_1 Ch1,Data_2 Ch1,18750000.0,75000000.0,513,27.147523818590663,25.96991756631261,0.01921880650130097,0.01450201023943928,0.024076354049549328,15.64651122103724,0.6464219991665806,0.0009067557623335002
Data_1_ch1_x_Data_2_ch2_preview_2segments,Data_1 Ch1,Data_2 Ch2,18750000.0,75000000.0,513,27.147523818590663,25.59051615414079,0.0558373831331932,0.05725812354642439,0.07997690958783421,15.499376771590656,0.7979598090861584,0.0030343102503466997
Data_1_ch2_x_Data_2_ch1_preview_2segments,Data_1 Ch2,Data_2 Ch1,18750000.0,75000000.0,513,26.249502236895548,25.96991756631261,-0.10169626349892424,0.07238538252322613,0.12482697469968741,15.434996704251784,2.5230042189517596,0.00478093262373244
Data_1_ch2_x_Data_2_ch2_preview_2segments,Data_1 Ch2,Data_2 Ch2,18750000.0,75000000.0,513,26.249502236895548,25.59051615414079,0.07514001307433402,0.026739089467686196,0.07975588047518511,15.312412250077276,0.34188295799515567,0.003077249110730677
