pair_index,label,diagonal_offset,critical_score,mean_correlation,global_mean_correlation,peak_abs_amplitude
27,"(7,7)-(8,8)",1,0.000000,0.000000,-0.000000,0.000000
29,"(3,1)-(8,6)",5,0.000000,-0.000000,-0.000000,0.000000
25,"(6,6)-(8,8)",2,0.000000,0.000000,-0.000000,0.000000
46,"(7,6)-(8,7)",1,0.000000,0.000000,-0.000000,0.000000
30,"(4,1)-(8,5)",4,0.000000,-0.000000,-0.000000,0.000000
26,"(6,7)-(7,8)",1,0.000000,0.000000,-0.000000,0.000000
28,"(2,1)-(8,7)",6,0.000000,-0.000000,-0.000000,0.000000
35,"(4,2)-(8,6)",4,0.000000,-0.000000,-0.000000,0.000000
