run_name,label,max_psd_db_0_to_100khz,offset_hz_at_max,psd_db_at_dc
20260515_092941,Dark noise reference,-42.7474820776,0,-42.7474820776
20260515_133100,Flint2 laser @1030 nm,53.8259362754,0,53.8259362754
20260515_134951,OPO single point @800 nm,46.6678289441,0,46.6678289441
20260515_140509,OPO scanning @800 nm,46.6420274783,0,46.6420274783
20260521_162959,Vacuum highpass filter @780 nm,55.0097861323,0,55.0097861323
