Frequency_Hz,Frequency_MHz,Offset_Hz,TwoTapFirRejection_dB,20260515_092941_after_fir_dB,20260515_133100_after_fir_dB,20260515_134951_after_fir_dB,20260515_140509_after_fir_dB,20260521_162959_after_fir_dB
75990142.822265625,75.990142822266,-9857.17773438,-67.7982228846,-116.991806604,-111.330758286,-107.496046,-108.542438084,-107.995763061
75990287.780761719,75.990287780762,-9712.21923828,-67.9269050777,-118.548786805,-110.41762944,-105.885929432,-107.374410768,-108.884473559
75990432.739257812,75.990432739258,-9567.26074219,-68.057522414,-117.444624245,-111.817319022,-103.415213725,-105.481861467,-109.079116676
75990577.697753906,75.990577697754,-9422.30224609,-68.1901339852,-116.741996977,-112.279397548,-105.216620367,-107.797669997,-107.531068469
75990722.65625,75.990722656250,-9277.34375,-68.3248016317,-117.163642872,-112.696765935,-108.897065065,-109.909511092,-107.403069268
75990867.614746094,75.990867614746,-9132.38525391,-68.4615901157,-117.201815022,-112.376144839,-108.851863748,-110.364685592,-108.38505553
75991012.573242188,75.991012573242,-8987.42675781,-68.6005673083,-118.497363672,-113.049492992,-110.338100242,-111.994630496,-107.093037004
75991157.531738281,75.991157531738,-8842.46826172,-68.7418043916,-118.762065004,-112.85704369,-107.580959776,-110.607603755,-106.784907092
75991302.490234375,75.991302490234,-8697.50976562,-68.8853760779,-118.978550479,-112.165787723,-105.541759601,-110.326530946,-105.857078594
75991447.448730469,75.991447448730,-8552.55126953,-69.0313608465,-118.163586901,-113.007874473,-105.998376077,-109.176304898,-106.189770076
75991592.407226562,75.991592407227,-8407.59277344,-69.179841202,-118.418872823,-113.04164036,-99.2814574684,-103.42773617,-106.800114007
75991737.365722656,75.991737365723,-8262.63427734,-69.3309039539,-119.013935416,-112.476308596,-93.3418214624,-96.8015813402,-104.78697109
75991882.32421875,75.991882324219,-8117.67578125,-69.4846405213,-119.296308694,-112.692626014,-92.2965228378,-95.944959365,-103.173912631
75992027.282714844,75.992027282715,-7972.71728516,-69.6411472658,-119.342570274,-113.451119193,-95.5881051349,-98.7160291683,-105.166632025
75992172.241210938,75.992172241211,-7827.75878906,-69.8005258535,-119.170737536,-113.808445353,-101.613542613,-102.831052811,-106.970866909
75992317.199707031,75.992317199707,-7682.80029297,-69.9628836524,-119.154650995,-112.366912151,-91.5933514123,-94.2188183803,-106.132235087
75992462.158203125,75.992462158203,-7537.84179688,-70.1283341663,-119.650510274,-114.312625234,-91.6820338053,-93.990266253,-106.734735351
75992607.116699219,75.992607116699,-7392.88330078,-70.2969975117,-120.073361032,-114.827968862,-104.319383076,-105.092333377,-107.794926671
75992752.075195312,75.992752075195,-7247.92480469,-70.4690009417,-119.638603729,-113.010462773,-107.32826712,-108.784875452,-107.607038438
75992897.033691406,75.992897033691,-7102.96630859,-70.6444794227,-118.879150653,-113.440524004,-112.102743309,-113.273322316,-109.240957534
75993041.9921875,75.993041992188,-6958.0078125,-70.8235762707,-120.791730949,-114.549663158,-112.980565713,-113.706447458,-108.731175985
75993186.950683594,75.993186950684,-6813.04931641,-71.0064438545,-120.497843651,-113.578999157,-112.21032474,-113.166791913,-108.684400019
75993331.909179688,75.993331909180,-6668.09082031,-71.1932443748,-119.93926132,-114.894302161,-111.07408404,-111.279364264,-108.073477167
75993476.867675781,75.993476867676,-6523.13232422,-71.3841507282,-120.912556808,-113.592290572,-109.750543787,-110.007630388,-105.969267537
75993621.826171875,75.993621826172,-6378.17382812,-71.5793474693,-121.145679203,-112.043841513,-109.779118357,-109.968848131,-103.942249269
75993766.784667969,75.993766784668,-6233.21533203,-71.7790318829,-120.60689768,-110.530688079,-103.335979834,-105.562069116,-104.334826672
75993911.743164062,75.993911743164,-6088.25683594,-71.9834151822,-121.363400456,-111.008451914,-98.1760423446,-100.71415488,-106.450158446
75994056.701660156,75.994056701660,-5943.29833984,-72.1927238514,-123.015365115,-113.497640986,-95.7812442744,-98.4668049852,-109.303607163
75994201.66015625,75.994201660156,-5798.33984375,-72.407201155,-122.81828185,-113.779693075,-97.4523536202,-101.245049548,-109.259052262
75994346.618652344,75.994346618652,-5653.38134766,-72.627108837,-123.46982576,-115.003850589,-87.78861268,-90.1204712726,-107.817415586
75994491.577148438,75.994491577148,-5508.42285156,-72.8527290411,-121.305755621,-115.714084417,-80.9440076236,-82.5237873873,-108.709631444
75994636.535644531,75.994636535645,-5363.46435547,-73.0843664882,-122.08152198,-117.433473216,-81.419738181,-82.7880928172,-110.176157063
75994781.494140625,75.994781494141,-5218.50585938,-73.3223509504,-123.121469536,-116.789428037,-87.2769078746,-89.652869991,-110.535855426
75994926.452636719,75.994926452637,-5073.54736328,-73.5670400751,-122.863182442,-113.987303313,-95.2849624698,-98.9959381511,-109.710837328
75995071.411132812,75.995071411133,-4928.58886719,-73.8188226177,-122.944148826,-114.244505617,-103.527983606,-106.737851631,-109.759219658
75995216.369628906,75.995216369629,-4783.63037109,-74.0781221575,-122.891965733,-114.972698766,-103.342218991,-106.952497091,-110.252800115
75995361.328125,75.995361328125,-4638.671875,-74.3454013853,-124.162851187,-117.085824951,-94.5577444003,-98.0972412069,-110.679516995
75995506.286621094,75.995506286621,-4493.71337891,-74.6211670717,-125.092102212,-117.012122866,-89.0168516878,-91.4328664482,-110.218710301
75995651.245117188,75.995651245117,-4348.75488281,-74.9059758508,-124.002173462,-117.0023154,-88.1860066939,-92.6080080327,-111.060536812
75995796.203613281,75.995796203613,-4203.79638672,-75.2004409842,-123.41087115,-117.327838429,-82.050160068,-85.4189012243,-108.445608958
75995941.162109375,75.995941162109,-4058.83789062,-75.5052403123,-123.877414365,-116.782177986,-78.31568075,-81.1012092027,-103.302908739
75996086.120605469,75.996086120605,-3913.87939453,-75.8211256531,-124.846260905,-116.401089056,-78.0315639396,-81.7577058894,-102.069299301
75996231.079101562,75.996231079102,-3768.92089844,-76.1489339742,-125.612810683,-117.479892342,-76.3361846435,-79.9527764774,-105.644600064
75996376.037597656,75.996376037598,-3623.96240234,-76.4896007575,-125.976030474,-116.738470435,-81.0497862266,-84.3299696008,-108.592728619
75996520.99609375,75.996520996094,-3479.00390625,-76.8441760941,-126.703607019,-115.65431176,-90.65699747,-94.1130523734,-109.054321365
75996665.954589844,75.996665954590,-3334.04541016,-77.2138442056,-126.182918972,-114.654825863,-84.0969372212,-87.5058789993,-108.753814156
75996810.913085938,75.996810913086,-3189.08691406,-77.5999473071,-126.381908044,-115.680046868,-84.0980235748,-87.2906001904,-108.689023818
75996955.871582031,75.996955871582,-3044.12841797,-78.0040150267,-127.20787486,-114.845523989,-92.717695377,-95.7768451942,-104.367198323
75997100.830078125,75.997100830078,-2899.16992188,-78.4278010059,-127.122862338,-116.093053323,-97.626581297,-99.2140523743,-105.930809628
75997245.788574219,75.997245788574,-2754.21142578,-78.8733288981,-127.090680124,-115.968588747,-94.065933248,-96.4261923847,-109.163404925
75997390.747070312,75.997390747070,-2609.25292969,-79.3429508132,-129.344715337,-117.646421518,-93.0261752308,-95.1110525233,-108.856235454
75997535.705566406,75.997535705566,-2464.29443359,-79.8394224859,-129.28676695,-108.581339947,-93.1606250729,-96.1882483596,-108.200686043
75997680.6640625,75.997680664062,-2319.3359375,-80.3660012586,-129.377340283,-99.9199731288,-95.0850904831,-98.5553403362,-107.450112888
75997825.622558594,75.997825622559,-2174.37744141,-80.926575729,-130.115444768,-101.014619399,-102.965483996,-105.385633213,-107.613075122
75997970.581054688,75.997970581055,-2029.41894531,-81.5258401951,-130.672792929,-106.097297832,-110.350110493,-110.369957371,-107.824751938
75998115.539550781,75.998115539551,-1884.46044922,-82.1695338611,-131.403760491,-107.328333325,-108.871897496,-107.712226324,-106.382207786
75998260.498046875,75.998260498047,-1739.50195312,-82.864775985,-132.911689177,-109.816335207,-104.353632421,-103.087591085,-100.921659742
75998405.456542969,75.998405456543,-1594.54345703,-83.6205472015,-133.186496686,-108.923557822,-102.015067631,-103.195561135,-101.502567653
75998550.415039062,75.998550415039,-1449.58496094,-84.4484009036,-134.913736007,-105.154511173,-96.7452156389,-99.5995922349,-102.703628249
75998695.373535156,75.998695373535,-1304.62646484,-85.3635507138,-135.399340817,-104.569880682,-99.4242628835,-102.184226069,-108.47913732
75998840.33203125,75.998840332031,-1159.66796875,-86.3866011619,-137.038844025,-107.664482273,-103.401247428,-103.706731949,-107.150455755
75998985.290527344,75.998985290527,-1014.70947266,-87.5464401006,-137.235362144,-114.664691763,-102.402411956,-104.347988656,-104.031639841
75999130.249023438,75.999130249023,-869.750976562,-88.8853758926,-138.511546052,-112.898310098,-100.718070684,-102.818941068,-95.206106285
75999275.207519531,75.999275207520,-724.792480469,-90.4690008129,-139.52915467,-109.893077482,-95.2706160794,-97.4124536248,-90.6653332366
75999420.166015625,75.999420166016,-579.833984375,-92.4072010727,-141.667600342,-111.52507239,-93.3441766138,-95.8015923691,-95.7768297973
75999565.124511719,75.999565124512,-434.875488281,-94.9059758044,-144.827647729,-108.924109381,-98.3818312527,-100.517753508,-103.624941208
