run_name,measurement_note,bin_spacing_hz,points_in_window,nearest_76_bin_mhz,psd_at_nearest_76_bin,local_peak_mhz,local_peak_psd,local_median_psd,csv_path,ratio_vs_dark_noise_at_76mhz,db_vs_dark_noise_at_76mhz
20260515_092941,"Vacuum; Dark noise; tags: Dark Noise; dark-noise reference; 1030 nm; scan rate 1 mm/s; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.38 GB",9277.34375,21,76.0,1.2826745989616871e-05,75.99072265625,1.2864197391519231e-05,1.1362815134168059e-05,D:\Quantum Squeezing Project\DataFiles\20260515_092941\fft_analysis\interleaved_fft_high_frequency_semilog.csv,1.0,0.0
20260515_133100,"Vacuum; single point position flint2 @1030 nm, 1.65 urad^2/vHz; tags: Alignment; single-point measurement; 1030 nm; scan rate 1 mm/s; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.38 GB",9277.34375,21,76.0,3781.1030521861126,76.0,3781.1030521861126,3.3950667871348766e-05,D:\Quantum Squeezing Project\DataFiles\20260515_133100\fft_analysis\interleaved_fft_high_frequency_semilog.csv,294782718.4889199,84.69502019604607
20260515_134951,"Vacuum; single point position OPO @800 nm, 0.66 urad^2/vHz; tags: Alignment; single-point measurement; OPO involved; 800 nm; scan rate 1 mm/s; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.38 GB",9277.34375,21,76.0,717.2646909569186,76.0,717.2646909569186,2.6755490772634314e-05,D:\Quantum Squeezing Project\DataFiles\20260515_134951\fft_analysis\interleaved_fft_high_frequency_semilog.csv,55919458.57020459,77.47562957782138
20260515_140509,"Vacuum; scanning OPO @800 nm, 0.7 urad^2/vHz; tags: Alignment; scan measurement; OPO involved; 800 nm; scan range 5 mm; scan rate 1 mm/s; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.38 GB",9277.34375,21,76.0,721.15845412561,76.0,721.15845412561,2.3195221417746945e-05,D:\Quantum Squeezing Project\DataFiles\20260515_140509\fft_analysis\interleaved_fft_high_frequency_semilog.csv,56223024.50749246,77.49914204693395
