run_name,frequency_mhz,psd_at_76mhz,local_median_psd_75p5_76p5mhz,peak_to_local_median_ratio,measurement_note,csv_path,ratio_vs_dark_noise_at_76mhz,db_vs_dark_noise_at_76mhz
20260515_092941,76.0,1.2826745989616871e-05,1.1756201415619293e-05,1.0910621157421863,"Vacuum; Dark noise; tags: Dark Noise; dark-noise reference; 1030 nm; scan rate 1 mm/s; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.38 GB",D:\Quantum Squeezing Project\DataFiles\20260515_092941\fft_analysis\interleaved_fft_high_frequency_semilog.csv,1.0,0.0
20260515_133100,76.0,3781.1030521861126,3.4297710897960975e-05,110243597.9892437,"Vacuum; single point position flint2 @1030 nm, 1.65 urad^2/vHz; tags: Alignment; single-point measurement; 1030 nm; scan rate 1 mm/s; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.38 GB",D:\Quantum Squeezing Project\DataFiles\20260515_133100\fft_analysis\interleaved_fft_high_frequency_semilog.csv,294782718.4889199,84.69502019604607
20260515_134951,76.0,717.2646909569186,2.5552544884239977e-05,28070186.12847855,"Vacuum; single point position OPO @800 nm, 0.66 urad^2/vHz; tags: Alignment; single-point measurement; OPO involved; 800 nm; scan rate 1 mm/s; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.38 GB",D:\Quantum Squeezing Project\DataFiles\20260515_134951\fft_analysis\interleaved_fft_high_frequency_semilog.csv,55919458.57020459,77.47562957782138
20260515_140509,76.0,721.15845412561,2.175816897372745e-05,33144262.046884287,"Vacuum; scanning OPO @800 nm, 0.7 urad^2/vHz; tags: Alignment; scan measurement; OPO involved; 800 nm; scan range 5 mm; scan rate 1 mm/s; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.38 GB",D:\Quantum Squeezing Project\DataFiles\20260515_140509\fft_analysis\interleaved_fft_high_frequency_semilog.csv,56223024.50749246,77.49914204693395
