run_name,measurement_note,peak_freq_mhz,delta_from_76_mhz,peak_psd_counts2_per_hz,median_psd_in_window,peak_to_median_ratio,ratio_vs_dark_noise_peak,db_vs_dark_noise_peak,csv_path
20260515_092941,"Vacuum; Dark noise; tags: Dark Noise; dark-noise reference; 1030 nm; scan rate 1 mm/s; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.38 GB",81.56640625,5.56640625,1.3606489932218244e-05,1.159105668383456e-05,1.1738783014662073,1.0,0.0,D:\Quantum Squeezing Project\DataFiles\20260515_092941\fft_analysis\interleaved_fft_high_frequency_semilog.csv
20260515_133100,"Vacuum; single point position flint2 @1030 nm, 1.65 urad^2/vHz; tags: Alignment; single-point measurement; 1030 nm; scan rate 1 mm/s; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.38 GB",76.0,0.0,3781.1030521861126,3.371326039116586e-05,112154772.58250892,277889674.04686755,84.43872409361815,D:\Quantum Squeezing Project\DataFiles\20260515_133100\fft_analysis\interleaved_fft_high_frequency_semilog.csv
20260515_134951,"Vacuum; single point position OPO @800 nm, 0.66 urad^2/vHz; tags: Alignment; single-point measurement; OPO involved; 800 nm; scan rate 1 mm/s; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.38 GB",76.0,0.0,717.2646909569186,2.5499196613850744e-05,28128913.307304442,52714895.210302345,77.21933347539344,D:\Quantum Squeezing Project\DataFiles\20260515_134951\fft_analysis\interleaved_fft_high_frequency_semilog.csv
20260515_140509,"Vacuum; scanning OPO @800 nm, 0.7 urad^2/vHz; tags: Alignment; scan measurement; OPO involved; 800 nm; scan range 5 mm; scan rate 1 mm/s; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.38 GB",76.0,0.0,721.15845412561,2.168311451340026e-05,33258988.40223949,53001064.76527857,77.24284594450602,D:\Quantum Squeezing Project\DataFiles\20260515_140509\fft_analysis\interleaved_fft_high_frequency_semilog.csv
