aperture_radius_um,tem00_purity,higher_order_content,tem00,tem01,tem02,tem10,tem11,tem20
40.0,0.5078568093441893,0.4921431906558107,0.5078568093441893,9.69723644828505e-34,0.24607159532790526,2.3674893686823375e-33,2.1307403996628364e-36,0.24607159532790543
43.673469387755105,0.5137234096983281,0.4862765903016719,0.5137234096983281,9.697237604285705e-34,0.243138295150836,1.4219733669773193e-33,1.1600697864501909e-35,0.243138295150836
47.3469387755102,0.5199206368711948,0.48007936312880517,0.5199206368711948,2.312001300760501e-40,0.2400396815644027,9.396565869976124e-34,8.323204718016146e-37,0.24003968156440253
51.02040816326531,0.5264349251345403,0.47356507486545973,0.5264349251345403,3.878894579314019e-33,0.23678253743272984,1.1934515399072727e-33,1.8126166950401135e-37,0.23678253743272995
54.69387755102041,0.533748570685486,0.466251429314514,0.533748570685486,3.878895041714282e-33,0.23312571465725698,2.367489487556234e-33,9.248010164058591e-38,0.23312571465725704
58.36734693877551,0.5413167508155272,0.4586832491844728,0.5413167508155272,9.697236303784972e-34,0.22934162459223634,2.1818783715548586e-33,1.0690694193313152e-36,0.22934162459223642
62.04081632653062,0.5496086241329484,0.4503913758670516,0.5496086241329484,3.878894752714116e-33,0.22519568793352573,1.9390333773587075e-33,1.0690694155829907e-36,0.2251956879335258
65.71428571428572,0.5575726852761859,0.44242731472381414,0.5575726852761859,9.69724555179017e-34,0.221213657361907,1.3674622270029038e-33,3.6992026456702433e-37,0.2212136573619071
69.38775510204081,0.5668355654324907,0.4331644345675093,0.5668355654324907,9.697245551790166e-34,0.2165822172837546,9.546311908189932e-34,1.4796808360145537e-36,0.21658221728375468
73.06122448979592,0.5762551035665292,0.4237448964334708,0.5762551035665292,9.69727329580578e-34,0.2118724482167354,1.2789772590326676e-33,3.3293461678700634e-38,0.21187244821673545
76.73469387755102,0.585763297705474,0.414236702294526,0.585763297705474,9.697257111796676e-34,0.20711835114726307,8.809433676866556e-34,1.4796957375854374e-38,0.20711835114726307
80.40816326530611,0.595800542506436,0.404199457493564,0.595800542506436,9.69725711179668e-34,0.202099728746782,8.954440048630575e-34,1.4797274880915825e-38,0.202099728746782
84.08163265306123,0.6063753868566485,0.3936246131433515,0.6063753868566485,9.697245551790173e-34,0.19681230657167573,5.4547020046639995e-34,3.699217638964812e-37,0.19681230657167578
87.75510204081633,0.6172716916482107,0.3827283083517893,0.6172716916482107,3.878895446314509e-33,0.1913641541758946,3.418658298756356e-34,1.1985414751962026e-36,0.1913641541758946
91.42857142857143,0.6278739332620965,0.3721260667379035,0.6278739332620965,2.514484094285447e-09,0.18606303085446751,2.514484094283837e-09,5.918748818547642e-38,0.18606303085446763
95.10204081632654,0.6392070568667568,0.36079294313324317,0.6392070568667568,8.727512673406473e-33,0.1803964715666215,2.736819501676672e-34,1.1328838124232595e-36,0.18039647156662164
98.77551020408163,0.6507701761566252,0.34922982384337475,0.6507701761566252,9.248005203041999e-40,0.17461491192168735,1.725905144023373e-34,1.331720166509067e-37,0.17461491192168735
102.44897959183675,0.6623760688482869,0.3376239311517131,0.6623760688482869,9.248005203041999e-40,0.1688119655758565,1.6004247532800705e-34,7.491328809745894e-38,0.16881196557585662
106.12244897959184,0.6738733875742086,0.32612661242579144,0.6738733875742086,9.697384271868217e-34,0.16306330621289564,1.3636748509156345e-34,8.323212620364339e-39,0.16306330621289575
109.79591836734694,0.6854620509879131,0.31453794901208687,0.6854620509879131,9.69727329580578e-34,0.15726897450604344,1.479682731308101e-34,1.5629135937004865e-37,0.15726897450604352
113.46938775510205,0.6975353736490719,0.3024646263509281,0.6975353736490719,9.697245551790173e-34,0.15123231317546407,1.0440630211840071e-34,1.4796817929395316e-36,0.15123231317546407
117.14285714285714,0.7087847775064192,0.2912152224935808,0.7087847775064192,1.17582076798111e-09,0.14560761007096956,1.1758207679802759e-09,2.367530113739977e-37,0.14560761007096965
120.81632653061224,0.7206265796081446,0.2793734203918554,0.7206265796081446,9.697273295805781e-34,0.13968671019592763,3.409192788757115e-35,5.780019559313992e-37,0.1396867101959277
124.48979591836735,0.732276157797242,0.267723842202758,0.732276157797242,0.0,0.1338619211013789,5.326852441953005e-35,9.469964745186024e-37,0.13386192110137907
128.16326530612247,0.7434688918092526,0.2565311081907474,0.7434688918092526,8.727512673406469e-33,0.12826555409537369,4.001068914878935e-35,1.4797359548932202e-38,0.12826555409537374
131.83673469387756,0.754799728287387,0.24520027171261305,0.754799728287387,3.87889822071607e-33,0.12260013585630641,2.2578137702739272e-41,1.1328840276211352e-36,0.12260013585630657
135.51020408163265,0.7655118517614763,0.2344881482385237,0.7655118517614763,9.697384271868215e-34,0.11724407411926183,8.523012395933341e-36,8.346563177324893e-38,0.11724407411926187
139.18367346938777,0.7763561617472123,0.22364383825278766,0.7763561617472123,9.69727329580578e-34,0.11182191912639373,5.644534425684816e-42,1.592739364979888e-36,0.11182191912639389
142.85714285714286,0.7866622776414041,0.21333772235859594,0.7866622776414041,3.8789093183223123e-33,0.10666886117929787,3.7881023695144505e-36,2.3584737671599332e-36,0.10666886117929807
146.53061224489795,0.7967838305705915,0.20321616942940846,0.7967838305705915,8.727516372608557e-33,0.10160808471470417,3.787983156947383e-36,3.5549340751726714e-36,0.10160808471470428
150.20408163265307,0.8066807748696315,0.19331922513036848,0.8066807748696315,9.697236303784967e-34,0.09665961256518414,2.3675457773230086e-37,4.6818171003643755e-37,0.09665961256518428
153.87755102040816,0.8161081913763638,0.1838918086236362,0.8161081913763638,3.6992020812167976e-39,0.09194590431181807,1.1600770879862039e-35,6.7418187327583055e-37,0.09194590431181816
157.55102040816325,0.8250542001450161,0.17494579985498393,0.8250542001450161,3.6992020812168e-39,0.08747289992749194,9.470101827996306e-37,9.470000543881707e-37,0.08747289992749203
161.22448979591837,0.8337238167709602,0.1662761832290398,0.8337238167709602,3.6992020812167976e-39,0.0831380916145199,9.47018310929203e-37,4.059007307956633e-36,0.08313809161451993
164.8979591836735,0.8421495683296598,0.15785043167034019,0.8421495683296598,3.878898220716068e-33,0.07892521583517007,9.47006796078975e-37,3.614662147255273e-38,0.07892521583517013
168.57142857142858,0.849997080088599,0.15000291991140102,0.849997080088599,3.878894521513987e-33,0.07500145995570048,2.3674893545568903e-35,9.32261233291515e-37,0.07500145995570055
172.24489795918367,0.8578136772983134,0.14218632270168663,0.8578136772983134,3.699202081216799e-39,0.0710931613508433,5.91872332994688e-36,1.2768634764663274e-37,0.07109316135084338
175.91836734693877,0.8650226175177412,0.13497738248225877,0.8650226175177412,0.0,0.06748869124112936,1.917679363910107e-35,4.276284909384993e-36,0.06748869124112944
179.59183673469389,0.871880117982097,0.12811988201790303,0.871880117982097,1.5515578086055936e-32,0.06405994100895145,1.1600698629821386e-35,1.3707886413184524e-36,0.06405994100895154
183.26530612244898,0.8785151245959429,0.12148487540405706,0.8785151245959429,3.878898220716066e-33,0.06074243770202846,6.060773051115806e-35,2.622330850344295e-36,0.06074243770202854
186.9387755102041,0.88460401761217,0.11539598238783,0.88460401761217,3.8789093183223123e-33,0.05769799119391498,5.918813642497694e-36,2.8486178222110436e-36,0.057697991193915055
190.6122448979592,0.8906480765371213,0.1093519234628787,0.8906480765371213,0.0,0.05467596173143928,4.640280535679166e-35,1.6854558628090753e-37,0.05467596173143937
194.28571428571428,0.8961214346713823,0.10387856532861772,0.8961214346713823,2.420806070063094e-10,0.051939282364106096,2.4208060700773274e-10,1.1624423681308259e-10,0.05193928236410617
197.9591836734694,0.901427239508768,0.09857276049123198,0.901427239508768,3.8789093183223123e-33,0.04928638024561599,2.1307548487890072e-36,2.7981891283118937e-38,0.04928638024561606
201.6326530612245,0.9064439169314201,0.09355608306857988,0.9064439169314201,3.8788945215139875e-33,0.046778041534289945,1.9176667201529935e-35,1.4429538931225184e-36,0.046778041534289994
205.3061224489796,0.9112235470103048,0.08877645298969516,0.9112235470103048,0.0,0.04438822649484749,3.788027184315899e-36,2.2204583296405934e-36,0.04438822649484756
208.9795918367347,0.9156544001397181,0.0843455998602819,0.9156544001397181,3.8789093183223144e-33,0.04217279993014088,1.5151939852793592e-35,4.5316499042985637e-38,0.042172799930140954
212.6530612244898,0.9198405458336565,0.08015945416634351,0.9198405458336565,1.551557808605595e-32,0.0400797270831717,2.1307548487890072e-36,1.872800429881367e-38,0.04007972708317181
216.3265306122449,0.9239122883169153,0.0760877116830847,0.9239122883169153,3.878909318322314e-33,0.038043855841542316,8.523114223334383e-36,3.329324559886717e-38,0.03804385584154245
220.0,0.9275976733726488,0.07240232662735124,0.9275976733726488,0.0,0.03620116331367558,2.3674896932289563e-35,1.4450178876919505e-37,0.03620116331367571
