mirror_tilt_urad,tem00_purity,higher_order_content,tem00,tem01,tem02,tem10,tem11,tem20
0.0,0.9999907140945289,9.285905471112521e-06,0.9999907140945289,1.5516110771155636e-32,4.6429527355634925e-06,2.368067332303941e-37,9.252430518031736e-38,4.6429527355635e-06
5.1020408163265305,0.990253296718956,0.009746703281043989,0.990253296718956,1.3964026196173686e-31,4.626721450610807e-06,0.009693809316434215,9.699603793116949e-34,4.8267243159214054e-05
10.204081632653061,0.9615918844112821,0.03840811558871793,0.9615918844112821,3.879131270447185e-33,4.578470301539855e-06,0.037710325677583034,2.181937355584918e-33,0.0006932114408333898
15.306122448979592,0.9156140728126437,0.08438592718735627,0.9156140728126437,3.49100506936259e-32,4.499514995841707e-06,0.08097337468486063,2.439105884271109e-34,0.0034080529874998167
20.408163265306122,0.8548531221642341,0.14514687783576585,0.8548531221642341,1.5516525081788736e-32,4.392005379656972e-06,0.13473850226489867,8.729643413805253e-33,0.01040398356548743
25.51020408163265,0.7825618284231202,0.21743817157687984,0.7825618284231202,1.4796808324867209e-36,4.258856073446067e-06,0.1931230053495273,7.250436079184932e-37,0.024310907371278976
30.612244897959183,0.7024499403001291,0.2975500596998709,0.7024499403001291,6.206444308462256e-32,4.103642409732773e-06,0.24976354729559827,3.880374202346473e-33,0.047782408761863036
35.714285714285715,0.6183904442042751,0.38160955579572486,0.6183904442042751,1.5519366068987116e-32,3.930460216466823e-06,0.2985252124808815,3.883688687411243e-33,0.08308041285462697
40.816326530612244,0.5341247244142225,0.46587527558577746,0.5341247244142225,9.697449377824848e-32,3.7437531852619347e-06,0.3341779778647546,9.697715720374695e-32,0.13169355396783758
45.91836734693877,0.45299773341152105,0.547002266588479,0.45299773341152105,1.5515592882864276e-32,3.548117813595034e-06,0.3529602752528344,5.91872332994688e-38,0.1940384432178309
51.0204081632653,0.37775089850816873,0.6222491014918312,0.37775089850816873,2.424362344456212e-32,3.3481012988268837e-06,0.3529652129702227,3.879131270447184e-33,0.2692805404203098
56.12244897959184,0.31039267593749936,0.6896073240625007,0.31039267593749936,7.854762885746658e-32,3.148010541053194e-06,0.3343106874924856,7.854909374149074e-32,0.355293488559474
61.224489795918366,0.2521558255648631,0.747844174435137,0.2521558255648631,2.4244289300936745e-32,2.9517496360562024e-06,0.2990848761916862,3.491218143402467e-32,0.4487563464938147
66.3265306122449,0.20353884899860394,0.796461151001396,0.20353884899860394,8.727545966225205e-33,2.762699084127151e-06,0.25108712615605205,2.4243815803070345e-32,0.54537126214626
71.42857142857143,0.1644189190260968,0.8355810809739033,0.1644189190260968,3.4911530374458385e-32,2.5836435682729646e-06,0.19540566362700998,0.0,0.6401728337033249
76.53061224489795,0.13421664988880452,0.8657833501111954,0.13421664988880452,1.396427034351105e-31,2.4167482261409686e-06,0.1378851236232393,1.4796808324867209e-36,0.72789580973973
81.63265306122449,0.1120897332898727,0.8879102667101273,0.1120897332898727,2.9334509739157645e-32,2.263577411291386e-06,0.08453913423813567,6.20624455154987e-32,0.8033688688945804
86.73469387755102,0.09713227374477171,0.9028677262552283,0.09713227374477171,2.4243102088268793e-32,2.125146019191063e-06,0.040959106248076686,1.396423335149023e-31,0.8619064948611325
91.83673469387755,0.08855848668057135,0.9114415133194287,0.08855848668057135,8.727779940756845e-33,2.0019918430299293e-06,0.011764029968662425,7.006276904377961e-32,0.8996754813589232
96.93877551020408,0.08585215723559828,0.9141478427644018,0.08585215723559828,7.006254061805107e-32,1.8942578313155772e-06,0.0001308982224129112,1.7347566485715257e-31,0.9140150502841574
102.0408163265306,0.08886626571394819,0.9111337342860518,0.08886626571394819,3.491010988085921e-32,1.8017749129690083e-06,0.007442875363038718,7.16165522923573e-36,0.9036890571481001
107.14285714285714,0.09786054994912001,0.90213945005088,0.09786054994912001,3.6992020812168015e-39,1.7241385330167798e-06,0.033091504559167206,1.551890736792905e-32,0.8690462213531797
112.24489795918367,0.11346919108283515,0.8865308089171648,0.11346919108283515,6.251651517256396e-37,1.6607746096072444e-06,0.07446674230291345,1.0691208943646266e-31,0.8120624058396417
117.3469387755102,0.13659716257626253,0.8634028374237375,0.13659716257626253,1.5515611378874685e-32,1.610992876724793e-06,0.12715984927983082,9.699603793116949e-34,0.7362413771510299
122.44897959183673,0.16825250213278725,0.8317474978672128,0.16825250213278725,1.5516025689507774e-32,1.5740273008082713e-06,0.18538528863917836,1.3964168245533607e-31,0.6463606352007336
127.55102040816327,0.20933218873408413,0.7906678112659159,0.20933218873408413,9.697384271868217e-34,1.5490643872410772e-06,0.24259803741942554,2.4243149946695735e-32,0.548068224782103
132.6530612244898,0.26038939359609903,0.739610606403901,0.26038939359609903,1.1985414743142432e-36,1.535260765310757e-06,0.2922463269536988,8.728459669139262e-33,0.4473627441894369
137.75510204081633,0.32141661638535407,0.678583383614646,0.32141661638535407,8.728992354238958e-33,1.5317515759784258e-06,0.3285659950673239,1.551847826048762e-32,0.350015856795746
142.85714285714286,0.39167977860623965,0.6083202213937604,0.39167977860623965,3.884813244843934e-33,1.5376510601933847e-06,0.3473028381067287,3.879841517246778e-33,0.26101584563597147
