pinhole_radius_um,total_transmission,tem00_transmission,tem00_purity,score_purity_times_transmission,mode_0_0_power,mode_0_1_power,mode_0_2_power,mode_1_0_power,mode_2_0_power
20.0,0.050789315347204295,0.0018526312778791294,0.05690379509461449,0.00010542175062230778,0.001445052396745721,9.955422653972177e-07,0.0006369543913987558,9.955422653972169e-07,0.0006369543913987558
22.711864406779657,0.06667594967081605,0.0031091080967059867,0.0727430003598519,0.00022616585139750205,0.00242510431543067,2.7968324780419217e-06,0.0010268196060966622,2.7968324780419187e-06,0.0010268196060966622
25.423728813559322,0.08146204769546603,0.004531173199555568,0.08677206615017377,0.00039317926060973026,0.003534315095653343,5.920710399039347e-06,0.0014410959393078011,5.920710399039343e-06,0.0014410959393078022
28.135593220338983,0.10140947372065903,0.006805305577343835,0.10468722803925863,0.0007124285768522327,0.005308138350328191,1.3314624774112398e-05,0.0020553761418164325,1.3314624774112394e-05,0.002055376141816432
30.847457627118644,0.1216788494181731,0.009500906495219216,0.12180764531817873,0.0011572830485708427,0.0074107070662709894,2.588348487016051e-05,0.0027201882775662375,2.588348487016051e-05,0.0027201882775662375
33.559322033898304,0.1455289339079775,0.01312471128590239,0.14069057648087813,0.0018465231969586945,0.010237274803003864,4.924602220090951e-05,0.0035241563858914864,4.924602220090955e-05,0.0035241563858914864
36.271186440677965,0.1688561607798895,0.01709721479949281,0.157954882808072,0.002700588559998321,0.013335827543604394,8.33834050096475e-05,0.004304447185360657,8.338340500964755e-05,0.004304447185360657
38.98305084745762,0.1934281956343631,0.021697311666732985,0.1749889983171803,0.0037967908347372745,0.016923903100051728,0.0001339603404534085,0.005095316776046888,0.00013396034045340863,0.005095316776046888
41.69491525423729,0.22164038051132423,0.02745119226716134,0.19321325761261363,0.0053039342832884315,0.021411929968385847,0.00021396141056376593,0.005935348183027046,0.000213961410563766,0.005935348183027046
44.40677966101695,0.2501335048717089,0.033721727932768085,0.2103112719845068,0.007092059495055929,0.026302947787559105,0.00032232051299431995,0.006685539930998453,0.0003223205129943203,0.006685539930998453
47.1186440677966,0.28257589568332775,0.04135981156766279,0.2283326604698918,0.009443795811777851,0.032260653022776975,0.0004842146989577587,0.007395051423750809,0.0004842146989577587,0.007395051423750809
49.83050847457627,0.3106047173536332,0.04833651000162855,0.2427682240165528,0.011734568688253705,0.03770247780127027,0.0006609814095382164,0.007868711825803747,0.0006609814095382164,0.007868711825803747
52.542372881355924,0.34387714323823876,0.05702120512129742,0.2586769191817523,0.014750069668807972,0.04447653999461199,0.0009195614486396215,0.008254324292041941,0.0009195614486396211,0.008254324292041941
55.25423728813559,0.37554289056911244,0.06564201511583899,0.2726760275671626,0.017899003923290614,0.05120077179035441,0.0012189086583335956,0.008437444185916085,0.0012189086583335965,0.008437444185916085
57.96610169491525,0.41048338794292916,0.07550201887995336,0.2869376761964958,0.02166437384555777,0.05889157472636363,0.0016139331555523864,0.008432062898296856,0.0016139331555523864,0.008432062898296856
60.677966101694906,0.4429223327754316,0.08493430478854791,0.2991439032682614,0.025407579455822407,0.06624875773506737,0.0020452007133820293,0.008237573045889091,0.0020452007133820293,0.008237573045889087
