objective_focal_length_mm,wavelength_nm,focus_spot_radius_um,focus_spot_diameter_um,required_beam_radius_on_objective_mm,required_beam_diameter_on_objective_mm,best_pinhole_radius_um,best_tem00_purity,best_tem00_transmission,best_total_transmission,score_purity_times_transmission
20.0,1064.0,10.057142857142857,20.114285714285714,0.6735147819025209,1.3470295638050418,28.135593220338983,0.39000091970686823,0.24999955882972927,0.9999958771059223,0.09750005786990573
20.0,1064.0,12.114285714285714,24.228571428571428,0.5591443472398286,1.1182886944796573,30.847457627118644,0.3900092619573743,0.24999426183339252,0.9999532998340037,0.09750007755122
20.0,1064.0,14.17142857142857,28.34285714285714,0.47797823231791803,0.9559564646358361,36.271186440677965,0.39000786923259445,0.24999521598418467,0.9999606872105226,0.09750010150433411
20.0,1064.0,16.228571428571428,32.457142857142856,0.41738944230578756,0.8347788846115751,41.69491525423729,0.39000724508903534,0.2499956478150859,0.9999640147774962,0.09750011388861037
20.0,1064.0,18.285714285714285,36.57142857142857,0.37043313004638645,0.7408662600927729,47.1186440677966,0.3900061177977132,0.24999640147977775,0.9999699197301894,0.09750012600452661
20.0,1064.0,20.34285714285714,40.68571428571428,0.33297360004169574,0.6659472000833915,52.542372881355924,0.39000627136535004,0.24999629720464125,0.9999691088913549,0.09750012372792602
20.0,1064.0,22.4,44.8,0.3023943918746012,0.6047887837492024,57.96610169491525,0.3900058437444405,0.24999658120448498,0.99997134128728,0.0975001275858807
20.0,1064.0,24.457142857142856,48.91428571428571,0.27695934956739177,0.5539186991347835,63.389830508474574,0.39000577257042474,0.2499966263654409,0.9999717044179752,0.09750012740565359
20.0,1064.0,26.514285714285712,53.028571428571425,0.25547112416992174,0.5109422483398435,68.8135593220339,0.39000594212267725,0.2499965157214939,0.9999708271184897,0.09750012664134793
20.0,1064.0,28.57142857142857,57.14285714285714,0.23707720322968737,0.47415440645937473,74.23728813559322,0.39000558944748254,0.24999674602160368,0.9999726525617572,0.09750012829210813
20.0,1064.0,30.628571428571426,61.25714285714285,0.22115410749038,0.44230821498076,79.66101694915254,0.3900054815554518,0.2499968155376902,0.9999732072569744,0.09750012843110632
20.0,1064.0,32.68571428571428,65.37142857142857,0.207235317508468,0.414470635016936,85.08474576271185,0.39000536143247616,0.24999689420081384,0.9999738299002866,0.0975001290797849
20.0,1064.0,34.74285714285714,69.48571428571428,0.19496480528757185,0.3899296105751437,90.50847457627118,0.3900052367962984,0.24999697457623177,0.9999744709649295,0.09750012926796146
20.0,1064.0,36.8,73.6,0.18406615157584422,0.36813230315168843,95.9322033898305,0.3900052143887997,0.24999698899163403,0.999974586078658,0.09750012928823663
20.0,1064.0,38.857142857142854,77.71428571428571,0.17432147296300543,0.34864294592601086,101.35593220338981,0.3900050944392802,0.24999706659624585,0.9999752040440868,0.09750012956741189
20.0,1064.0,40.91428571428571,81.82857142857142,0.1655567061659828,0.3311134123319656,106.77966101694915,0.3900049932656179,0.24999713127389897,0.9999757221612798,0.09750012949890076
20.0,1064.0,42.97142857142857,85.94285714285714,0.1576311191686751,0.3152622383373502,112.20338983050846,0.3900050113171101,0.24999711996966698,0.9999756306607742,0.09750012960301489
20.0,1064.0,45.028571428571425,90.05714285714285,0.15042969748076612,0.30085939496153224,117.62711864406779,0.3900049133835486,0.2499971826431113,0.9999761324538058,0.09750012956285779
20.0,1064.0,47.08571428571428,94.17142857142856,0.14385752623160641,0.28771505246321283,123.05084745762711,0.3900048997030016,0.24999719122804323,0.9999762018701508,0.09750012949092511
20.0,1064.0,49.14285714285714,98.28571428571428,0.13783558327307405,0.2756711665461481,128.47457627118644,0.3900048269643731,0.2499972379911992,0.9999765754230165,0.09750012954432884
20.0,1064.0,51.199999999999996,102.39999999999999,0.13229754644513803,0.26459509289027605,133.89830508474574,0.39000480728681264,0.24999725041954465,0.9999766755892643,0.09750012947210755
20.0,1064.0,53.25714285714285,106.5142857142857,0.1271873407884589,0.2543746815769178,139.32203389830508,0.3900048059093375,0.24999725142302448,0.999976683134996,0.09750012951910451
20.0,1064.0,55.31428571428571,110.62857142857142,0.12245723307318561,0.24491446614637122,144.74576271186442,0.3900047468886209,0.24999728909316407,0.9999769851435208,0.09750012945562084
20.0,1064.0,57.37142857142857,114.74285714285713,0.11806633626976462,0.23613267253952924,150.1694915254237,0.3900047341861123,0.24999729709038268,0.9999770497013966,0.09750012939898124
20.0,1064.0,59.42857142857142,118.85714285714285,0.11397942462965739,0.22795884925931478,155.59322033898303,0.3900047351696364,0.2499972965857054,0.9999770451609439,0.09750012944803309
20.0,1064.0,61.48571428571428,122.97142857142856,0.11016598663089562,0.22033197326179124,161.01694915254237,0.39000465565618925,0.24999734711476287,0.999977451148281,0.0975001292764539
20.0,1064.0,63.54285714285714,127.08571428571427,0.10659946188385223,0.21319892376770447,166.4406779661017,0.39000468775623387,0.2499973266893019,0.9999772871424579,0.09750012933535439
20.0,1064.0,65.6,131.2,0.1032566216157175,0.206513243231435,171.864406779661,0.39000460719120555,0.24999737792568716,0.9999776986554411,0.09750012917673899
20.0,1064.0,67.65714285714284,135.3142857142857,0.10011706217469905,0.2002341243493981,177.2881355932203,0.390004563425729,0.2499974056506153,0.9999779217692113,0.09750012904833309
20.0,1064.0,69.71428571428571,139.42857142857142,0.09716278820888825,0.1943255764177765,179.99999999999997,0.390006449217001,0.24999617884923825,0.9999681794693271,0.09750012203080974
20.0,1064.0,71.77142857142857,143.54285714285714,0.09437786752774177,0.18875573505548354,179.99999999999997,0.39001208042618946,0.24999224636645787,0.9999380119342052,0.09749999609579874
20.0,1064.0,73.82857142857142,147.65714285714284,0.09174814366473968,0.18349628732947937,179.99999999999997,0.390021313656109,0.249985186426386,0.9998861015299506,0.09749955080458637
20.0,1064.0,75.88571428571427,151.77142857142854,0.08926099519190038,0.17852199038380076,179.99999999999997,0.390035645262628,0.2499731776611381,0.9998013306936362,0.09749844964741156
20.0,1064.0,77.94285714285714,155.88571428571427,0.08690513314871237,0.17381026629742474,179.99999999999997,0.39005682120534885,0.249953710551324,0.9996691950055067,0.0974961497861313
20.0,1064.0,80.0,160.0,0.08467042972488834,0.16934085944977667,179.99999999999997,0.390086749197923,0.2499234814742182,0.9994716095954336,0.09749183843650511
