radius_um,enclosed_total_power_fraction,enclosed_tem00_power_fraction
0.0,9.116605579262337e-05,0.00022381163872300247
1.5126050420168067,0.00045587131123659075,0.0011184289446273755
3.0252100840336134,0.001185444658412052,0.0029051496552386005
4.53781512605042,0.002645193931419569,0.006469183254401401
6.050420168067227,0.0044709916874928705,0.010906564042289535
7.563025210084033,0.007394845062211642,0.017964202478549404
9.07563025210084,0.010321574523803024,0.024973009231970843
10.588235294117647,0.013617539621572066,0.03279762821570234
12.100840336134453,0.019485222879754124,0.046552921337369935
13.61344537815126,0.02389229919273397,0.05673991847874663
15.126050420168067,0.029775791506113827,0.07015495277516182
16.638655462184875,0.035298411190136214,0.0825581008647176
18.15126050420168,0.042670707990132666,0.09883616591372558
19.66386554621849,0.050050957440082984,0.11483003946721107
21.176470588235293,0.05706793306069267,0.12975804054422627
22.689075630252102,0.06593671444491749,0.14825642406752804
24.201680672268907,0.07554765735696636,0.16785105904805833
25.71428571428571,0.08589706313747726,0.18845291890354685
27.22689075630252,0.09587167488959054,0.207836497978646
28.739495798319325,0.10620569225591944,0.22744201257661076
30.252100840336134,0.11799833329627321,0.24926215884194702
31.76470588235294,0.12939844111869211,0.2698084643990307
33.27731092436975,0.14260081747078382,0.2929679257036443
34.78991596638656,0.15502666054523784,0.3141659363965172
36.30252100840336,0.17030843943224527,0.33947213003094356
37.81512605042017,0.18370128123021176,0.3609964422082579
39.32773109243698,0.19809654517991968,0.3834703709471617
40.84033613445378,0.21382302144994653,0.40728675118223906
42.35294117647059,0.22907090418362647,0.4296665687189331
43.865546218487395,0.24594162612577855,0.4536613612577766
45.378151260504204,0.261255346849755,0.4747630224301692
46.890756302521005,0.27847167401058753,0.49775142164311076
48.403361344537814,0.2958200823204,0.5201694444219312
49.91596638655462,0.31327474648386966,0.5419920293493696
51.42857142857142,0.33114437963767224,0.5636146369358416
52.94117647058823,0.3477670276158479,0.5830865125931315
54.45378151260504,0.3670024789958069,0.6048901245933025
55.96638655462185,0.3846337027480245,0.6242122543374251
57.47899159663865,0.4037802707528301,0.6444988328231924
58.99159663865546,0.4222319846361514,0.6633954560930908
60.50420168067227,0.44175313963570934,0.6827058288246253
62.01680672268907,0.46024298661670743,0.700378917128209
63.52941176470588,0.47745465063458714,0.7163012346646136
65.04201680672269,0.4967107538921959,0.7335315495106101
66.5546218487395,0.5149117949126795,0.7492707391749938
68.0672268907563,0.5346631520381755,0.7657635185792884
69.57983193277312,0.5520579354523139,0.7797968163915852
71.0924369747899,0.5696623596090928,0.7935381708767021
72.60504201680672,0.5890492490933961,0.8081554014701968
74.11764705882352,0.6066110449632219,0.820934604429802
75.63025210084034,0.6233449488923197,0.8327126518719733
77.14285714285714,0.6403265100795869,0.8442747211666903
78.65546218487395,0.6578698842927241,0.8558126619317148
80.16806722689076,0.6737383440413349,0.865901263405878
81.68067226890756,0.6902664927840333,0.8760585916101307
83.19327731092436,0.705727700371788,0.8852431383712298
84.70588235294117,0.7210279392485378,0.894032966770232
86.21848739495798,0.7357950311832544,0.9022357474687366
87.73109243697479,0.7495732969759425,0.9096434152424793
89.24369747899159,0.7641682624948023,0.9172303532826158
90.75630252100841,0.7776011120534795,0.9239811925555071
92.2689075630252,0.7899547978641028,0.929990784145263
93.78151260504201,0.8029346977723444,0.9361014918109869
95.29411764705881,0.8143689917021599,0.9413100653742185
96.80672268907563,0.8268615210389147,0.9468146278408418
98.31932773109243,0.8375531272913574,0.9513700958381645
99.83193277310924,0.8478330499225231,0.9556128590995253
101.34453781512605,0.8579782935763582,0.9596683017243988
102.85714285714285,0.8672383491061231,0.9632532525013462
104.36974789915965,0.876588776545086,0.9667596622639347
105.88235294117646,0.8850997909773018,0.9698500474263797
107.39495798319327,0.8939778786004968,0.9729692137030019
108.90756302521008,0.9013021921750171,0.9754610285937165
110.42016806722688,0.9087610697521797,0.9779206912326573
111.9327731092437,0.9151808079690771,0.9799738653765485
113.44537815126048,0.9218598645874522,0.982045209756998
114.9579831932773,0.9281414880438102,0.983932099881573
116.4705882352941,0.9338092307076363,0.985581902932498
117.98319327731092,0.9392593017544314,0.9871196803185714
119.49579831932772,0.9442830116728035,0.9884937447944708
121.00840336134453,0.9489800431310733,0.9897393278363434
122.52100840336134,0.9532032185404073,0.9908260409914912
124.03361344537814,0.9571198288296144,0.9918044124421205
125.54621848739495,0.9609958865770315,0.9927438744450697
127.05882352941175,0.9644113630711435,0.9935469856575991
128.57142857142858,0.9677430539475546,0.9943069797326934
130.08403361344537,0.9706096152510147,0.9949416708882617
131.59663865546216,0.973455890515056,0.9955532859247492
133.109243697479,0.9758831796960195,0.996059688918824
134.6218487394958,0.9781419614083301,0.9965176212329377
