frame_index,frame_number_1based,integrated_time_s,raw_std
0,1,0.013783,0.165091
1,2,0.027566,0.392772
2,3,0.041350,0.212610
3,4,0.055133,0.171164
4,5,0.068916,0.213139
5,6,0.082699,0.391559
6,7,0.096482,0.371808
7,8,0.110265,0.319557
8,9,0.124049,0.313858
9,10,0.137832,0.438903
10,11,0.151615,0.308387
11,12,0.165398,0.319871
12,13,0.179181,0.405202
13,14,0.192964,0.172280
14,15,0.206748,0.396130
15,16,0.220531,0.201017
16,17,0.234314,0.226832
17,18,0.248097,0.354965
18,19,0.261880,0.196523
19,20,0.275663,0.306964
20,21,0.289447,0.401075
21,22,0.303230,0.202545
22,23,0.317013,0.391482
23,24,0.330796,0.263206
24,25,0.344579,0.165536
25,26,0.358362,0.285363
26,27,0.372146,0.188503
27,28,0.385929,0.207219
28,29,0.399712,0.307184
29,30,0.413495,0.437195
30,31,0.427278,0.392894
31,32,0.441062,0.141527
32,33,0.454845,0.186891
33,34,0.468628,0.221937
34,35,0.482411,0.147045
35,36,0.496194,0.247289
36,37,0.509977,0.275873
37,38,0.523761,0.259013
38,39,0.537544,0.238326
39,40,0.551327,0.420205
40,41,0.565110,0.344980
41,42,0.578893,0.304922
42,43,0.592676,0.197210
43,44,0.606460,0.256942
44,45,0.620243,0.199463
45,46,0.634026,0.393373
46,47,0.647809,0.464471
47,48,0.661592,0.359216
48,49,0.675375,0.338236
49,50,0.689159,0.286464
50,51,0.702942,0.278322
51,52,0.716725,0.181307
52,53,0.730508,0.219978
53,54,0.744291,0.200098
54,55,0.758074,0.357133
55,56,0.771858,0.337891
56,57,0.785641,0.310577
57,58,0.799424,0.298145
58,59,0.813207,0.468393
59,60,0.826990,0.315590
60,61,0.840774,0.155117
61,62,0.854557,0.244407
62,63,0.868340,0.393547
63,64,0.882123,0.339050
64,65,0.895906,0.337722
65,66,0.909689,0.286859
66,67,0.923473,0.382512
67,68,0.937256,0.142446
68,69,0.951039,0.302815
69,70,0.964822,0.414428
70,71,0.978605,0.218410
71,72,0.992388,0.255390
72,73,1.006172,0.381839
73,74,1.019955,0.230628
74,75,1.033738,0.186191
75,76,1.047521,0.275956
76,77,1.061304,0.222971
77,78,1.075087,0.213306
78,79,1.088871,0.354712
79,80,1.102654,0.205079
80,81,1.116437,0.415003
81,82,1.130220,0.197929
82,83,1.144003,0.355561
83,84,1.157786,0.398922
84,85,1.171570,0.422180
85,86,1.185353,0.298661
86,87,1.199136,0.335987
87,88,1.212919,0.203972
88,89,1.226702,0.264216
89,90,1.240485,0.398795
90,91,1.254269,0.263127
91,92,1.268052,0.248049
92,93,1.281835,0.400349
93,94,1.295618,0.319011
94,95,1.309401,0.283336
95,96,1.323185,0.217406
96,97,1.336968,0.145843
97,98,1.350751,0.247242
98,99,1.364534,0.222704
99,100,1.378317,0.208819
100,101,1.392100,0.311918
101,102,1.405884,0.267130
102,103,1.419667,0.486279
103,104,1.433450,0.305749
104,105,1.447233,0.259258
105,106,1.461016,0.371391
106,107,1.474799,0.224837
107,108,1.488583,0.419053
108,109,1.502366,0.185118
109,110,1.516149,0.297854
110,111,1.529932,0.254681
111,112,1.543715,0.386952
112,113,1.557498,0.371594
113,114,1.571282,0.402712
114,115,1.585065,0.199596
115,116,1.598848,0.382802
116,117,1.612631,0.257413
117,118,1.626414,0.205647
118,119,1.640197,0.180527
119,120,1.653981,0.276952
120,121,1.667764,0.403128
121,122,1.681547,0.179879
122,123,1.695330,0.139441
123,124,1.709113,0.367717
124,125,1.722897,0.148970
125,126,1.736680,0.224921
126,127,1.750463,0.379360
127,128,1.764246,0.380250
128,129,1.778029,0.351015
129,130,1.791812,0.451060
130,131,1.805596,0.551216
131,132,1.819379,0.376893
132,133,1.833162,0.532664
133,134,1.846945,0.423882
134,135,1.860728,0.312233
135,136,1.874511,0.133875
136,137,1.888295,0.413807
137,138,1.902078,0.473487
138,139,1.915861,0.434512
139,140,1.929644,0.283125
140,141,1.943427,0.144857
141,142,1.957210,0.226361
142,143,1.970994,0.350336
143,144,1.984777,0.367930
144,145,1.998560,0.318643
145,146,2.012343,0.404089
146,147,2.026126,0.446906
147,148,2.039909,0.335594
148,149,2.053693,0.508252
149,150,2.067476,0.282607
150,151,2.081259,0.213466
151,152,2.095042,0.461419
152,153,2.108825,0.291501
153,154,2.122609,0.230288
154,155,2.136392,0.286079
155,156,2.150175,0.549869
156,157,2.163958,0.385501
157,158,2.177741,0.222583
158,159,2.191524,0.406818
159,160,2.205308,0.343902
160,161,2.219091,0.418009
161,162,2.232874,0.228630
162,163,2.246657,0.311661
163,164,2.260440,0.284169
164,165,2.274223,0.288817
165,166,2.288007,0.492046
166,167,2.301790,0.236007
167,168,2.315573,0.205579
168,169,2.329356,0.244942
169,170,2.343139,0.301246
170,171,2.356922,0.410587
171,172,2.370706,0.447057
172,173,2.384489,0.508903
173,174,2.398272,0.162673
