pair_index,label,diagonal_offset,critical_score,mean_correlation,global_mean_correlation,peak_abs_amplitude
27,"(7,7)-(8,8)",1,0.000000,0.000000,-0.000000,0.000000
15,"(3,5)-(6,8)",3,0.000000,-0.000000,-0.000000,0.000000
14,"(3,4)-(7,8)",4,0.000000,-0.000000,-0.000000,0.000000
19,"(4,5)-(7,8)",3,0.000000,-0.000000,-0.000000,0.000000
39,"(4,3)-(8,7)",4,0.000000,-0.000000,-0.000000,0.000000
33,"(7,1)-(8,2)",1,0.000000,-0.000000,-0.000000,0.000000
40,"(5,3)-(8,6)",3,0.000000,-0.000000,-0.000000,0.000000
41,"(5,4)-(8,7)",3,0.000000,-0.000000,-0.000000,0.000000
