objective_focal_length_mm,wavelength_nm,focus_spot_radius_um,focus_spot_diameter_um,required_beam_radius_on_objective_mm,required_beam_diameter_on_objective_mm,best_pinhole_radius_um,best_tem00_purity,best_tem00_transmission,best_total_transmission,score_purity_times_transmission
20.0,780.0,8.0,16.0,0.6207042780583919,1.2414085561167838,22.711864406779657,0.39000055130563277,0.2499997466948275,0.9999975731785751,0.09750003903725127
20.0,780.0,10.057142857142857,20.114285714285714,0.49374203936462985,0.9874840787292597,28.135593220338983,0.39000091970686823,0.24999955882972927,0.9999958771059223,0.09750005786990573
20.0,780.0,12.114285714285714,24.228571428571428,0.4098990515479946,0.8197981030959892,30.847457627118644,0.3900092619573743,0.24999426183339252,0.9999532998340037,0.09750007755122
20.0,780.0,14.17142857142857,28.34285714285714,0.3503975763232858,0.7007951526465716,36.271186440677965,0.39000786923259445,0.24999521598418467,0.9999606872105226,0.09750010150433411
20.0,780.0,16.228571428571428,32.457142857142856,0.3059809821414608,0.6119619642829216,41.69491525423729,0.39000724508903534,0.2499956478150859,0.9999640147774962,0.09750011388861037
20.0,780.0,18.285714285714285,36.57142857142857,0.27155812165054644,0.5431162433010929,47.1186440677966,0.3900061177977132,0.24999640147977775,0.9999699197301894,0.09750012600452661
20.0,780.0,20.34285714285714,40.68571428571428,0.2440971880004912,0.4881943760009824,52.542372881355924,0.39000627136535004,0.24999629720464125,0.9999691088913549,0.09750012372792602
20.0,780.0,22.4,44.8,0.22168009930656854,0.4433601986131371,57.96610169491525,0.3900058437444405,0.24999658120448498,0.99997134128728,0.0975001275858807
20.0,780.0,24.457142857142856,48.91428571428571,0.20303410964526838,0.40606821929053677,63.389830508474574,0.39000577257042474,0.2499966263654409,0.9999717044179752,0.09750012740565359
20.0,780.0,26.514285714285712,53.028571428571425,0.18728146320727343,0.37456292641454686,68.8135593220339,0.39000594212267725,0.2499965157214939,0.9999708271184897,0.09750012664134793
20.0,780.0,28.57142857142857,57.14285714285714,0.17379719785634976,0.3475943957126995,74.23728813559322,0.39000558944748254,0.24999674602160368,0.9999726525617572,0.09750012829210813
20.0,780.0,30.628571428571426,61.25714285714285,0.16212425173166953,0.32424850346333906,79.66101694915254,0.3900054815554518,0.2499968155376902,0.9999732072569744,0.09750012843110632
20.0,780.0,32.68571428571428,65.37142857142857,0.15192062749680924,0.30384125499361847,85.08474576271185,0.39000536143247616,0.24999689420081384,0.9999738299002866,0.0975001290797849
20.0,780.0,34.74285714285714,69.48571428571428,0.14292532718449813,0.28585065436899626,90.50847457627118,0.3900052367962984,0.24999697457623177,0.9999744709649295,0.09750012926796146
20.0,780.0,36.8,73.6,0.13493571262138956,0.26987142524277913,95.9322033898305,0.3900052143887997,0.24999698899163403,0.999974586078658,0.09750012928823663
20.0,780.0,38.857142857142854,77.71428571428571,0.127792057247316,0.255584114494632,101.35593220338981,0.3900050944392802,0.24999706659624585,0.9999752040440868,0.09750012956741189
20.0,780.0,40.91428571428571,81.82857142857142,0.12136675827957384,0.24273351655914768,106.77966101694915,0.3900049932656179,0.24999713127389897,0.9999757221612798,0.09750012949890076
