run_name,measurement_note,raw_file,fft_length,measurement_physical_channels,channels_per_data_file,selected_data_file,selected_interleaved_channel,bin_spacing_hz,frames_used,nearest_76_bin_hz,nearest_76_offset_hz,psd_at_nearest_76_bin,local_peak_hz,local_peak_mhz,local_peak_offset_hz,local_peak_psd,local_median_psd,peak_to_local_median_ratio,ratio_vs_20260515_092941_at_76mhz,db_vs_20260515_092941_at_76mhz
20260515_092941,"Vacuum; Dark noise; tags: Dark Noise; dark-noise reference; 1030 nm; scan rate 1 mm/s; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.38 GB",D:\Quantum Squeezing Project\DataFiles\20260515_092941\Data_1_1.bin,4194304,4,2,Data_1_1.bin,1,144.958496094,32,76800025.939941406,25.9399414062,1.057400039695523e-05,76794662.475585938,76.794662475586,-5337.52441406,1.8500680293098197e-05,1.1399020996523737e-05,1.6230060720776103,1,0
20260515_133100,"Vacuum; single point position flint2 @1030 nm, 1.65 urad^2/vHz; tags: Alignment; single-point measurement; 1030 nm; scan rate 1 mm/s; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.38 GB",D:\Quantum Squeezing Project\DataFiles\20260515_133100\Data_1_1.bin,4194304,4,2,Data_1_1.bin,1,144.958496094,32,76800025.939941406,25.9399414062,3.7821676497489248e-05,76777992.248535156,76.777992248535,-22007.7514648,5.4680348450942571e-05,3.3238395293100901e-05,1.6450959190046173,3.5768559748096802,5.53501453259
20260515_134951,"Vacuum; single point position OPO @800 nm, 0.66 urad^2/vHz; tags: Alignment; single-point measurement; OPO involved; 800 nm; scan rate 1 mm/s; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.38 GB",D:\Quantum Squeezing Project\DataFiles\20260515_134951\Data_1_1.bin,4194304,4,2,Data_1_1.bin,1,144.958496094,32,76800025.939941406,25.9399414062,2.4438107389704587e-05,76889755.249023438,76.889755249023,89755.2490234,4.6756254478177298e-05,2.4938563192682825e-05,1.8748575897065296,2.3111506026367756,3.63828246545
20260515_140509,"Vacuum; scanning OPO @800 nm, 0.7 urad^2/vHz; tags: Alignment; scan measurement; OPO involved; 800 nm; scan range 5 mm; scan rate 1 mm/s; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.38 GB",D:\Quantum Squeezing Project\DataFiles\20260515_140509\Data_1_1.bin,4194304,4,2,Data_1_1.bin,1,144.958496094,32,76800025.939941406,25.9399414062,2.1910837301784444e-05,76736534.118652344,76.736534118652,-63465.8813477,3.594633989867443e-05,2.1359608707782882e-05,1.6829119105340411,2.072142659280932,3.16419651655
20260521_162959,"Vacuum; highpass filter; tags: Alignment; 780 nm; scan rate 1 mm/s; 4 interleaved channels; raw-backed: 2 Data_*.bin files, 16.31 GB",D:\Quantum Squeezing Project\DataFiles\20260521_162959\Data_1_1.bin,4194304,4,2,Data_1_1.bin,1,144.958496094,32,76800025.939941406,25.9399414062,3.4896771730709365e-05,76754364.013671875,76.754364013672,-45635.9863281,6.1483492886539451e-05,3.5957836697766303e-05,1.709877415688881,3.3002430887706269,5.18545930249
