run_name,label,center_frequency_hz,nearest_center_bin_hz,nearest_center_offset_from_800khz_hz,psd_at_center,psd_db_at_center,after_2tap_fir_db_at_center,local_peak_frequency_hz,local_peak_offset_from_76mhz_hz,local_peak_offset_from_800khz_hz,local_peak_psd,local_peak_psd_db,max_after_2tap_fir_db_in_window,max_after_2tap_fir_offset_from_800khz_hz
20260515_092941,Dark noise reference,76800000,76800025.939941406,25.9399414062,1.057400039695523e-05,-49.7576067763,-79.3703830802,76794662.475585938,794662.475586,-5337.52441406,1.8500680293098197e-05,-47.3281230175,-76.3241915068,92944.3359375
20260515_133100,Flint2 laser @1030 nm,76800000,76800025.939941406,25.9399414062,3.7821676497489248e-05,-44.2225922437,-73.8353685476,76777992.248535156,777992.248535,-22007.7514648,5.4680348450942571e-05,-42.6216872655,-71.6960866595,55690.0024414
20260515_134951,OPO single point @800 nm,76800000,76800025.939941406,25.9399414062,2.4438107389704587e-05,-46.1193243108,-75.7321006147,76889755.249023438,889755.249023,89755.2490234,4.6756254478177298e-05,-43.3016028632,-71.9914244568,89755.2490234
20260515_140509,OPO scanning @800 nm,76800000,76800025.939941406,25.9399414062,2.1910837301784444e-05,-46.5934102597,-76.2061865636,76736534.118652344,736534.118652,-63465.8813477,3.594633989867443e-05,-44.4434532344,-73.4538152943,71635.4370117
20260521_162959,Vacuum highpass filter @780 nm,76800000,76800025.939941406,25.9399414062,3.4896771730709365e-05,-44.5721474738,-74.1849237777,76754364.013671875,754364.013672,-45635.9863281,6.1483492886539451e-05,-42.1124146814,-71.3833811949,92654.4189453
