pair,averaging_frames,tau_s,allan_variance,allan_deviation,overlapping_terms,variance_unit
"(6,1)-(8,3)",3,0.04134951656033081,84.32063352591616,9.18262672256235,120317,urad^4
"(2,2)-(8,8)",3,0.04134951656033081,92.79838445050143,9.633191810116802,120317,urad^4
"(1,2)-(7,8)",3,0.04134951656033081,104.99402338233651,10.246659132728897,120317,urad^4
"(7,1)-(8,2)",3,0.04134951656033081,32.39214371034828,5.6914096417626,120317,urad^4
"(3,1)-(8,6)",3,0.04134951656033081,163.30909513451178,12.779244701253349,120317,urad^4
"(3,2)-(8,7)",3,0.04134951656033081,147.57402412914746,12.148004944399203,120317,urad^4
"(7,2)-(8,3)",4,0.05513268874710775,24.716720153241916,4.971591309957197,120315,urad^4
"(1,3)-(6,8)",4,0.05513268874710775,151.63736032916916,12.31411224283623,120315,urad^4
"(2,3)-(7,8)",4,0.05513268874710775,133.69597190115198,11.562697431877735,120315,urad^4
"(6,1)-(8,3)",4,0.05513268874710775,82.39465015862982,9.077149891823414,120315,urad^4
"(2,2)-(8,8)",4,0.05513268874710775,96.26530277947138,9.811488306035502,120315,urad^4
"(1,2)-(7,8)",4,0.05513268874710775,108.33283101472772,10.40830586669741,120315,urad^4
"(7,1)-(8,2)",4,0.05513268874710775,29.423584276467384,5.424351046573902,120315,urad^4
"(3,1)-(8,6)",4,0.05513268874710775,168.74767770701075,12.990291671360222,120315,urad^4
"(3,2)-(8,7)",4,0.05513268874710775,155.09972106014186,12.453903848197234,120315,urad^4
"(7,2)-(8,3)",5,0.06891586093388469,24.32341795484353,4.931877731132792,120313,urad^4
"(1,3)-(6,8)",5,0.06891586093388469,160.70322414709156,12.676877539326929,120313,urad^4
"(2,3)-(7,8)",5,0.06891586093388469,143.81607086425217,11.992333837258375,120313,urad^4
"(6,1)-(8,3)",5,0.06891586093388469,84.92025268526466,9.215218537032351,120313,urad^4
"(2,2)-(8,8)",5,0.06891586093388469,103.62964315874719,10.179864594322813,120313,urad^4
"(1,2)-(7,8)",5,0.06891586093388469,115.06223429025806,10.726706591039864,120313,urad^4
"(7,1)-(8,2)",5,0.06891586093388469,28.443873552583216,5.333279811952793,120313,urad^4
