1.503818129185002022e+02,6.784761467193805018e-01
1.509377530771637907e+02,6.803597470424315174e-01
1.514936932358274362e+02,6.814037551699673179e-01
1.520496333944909679e+02,6.792024361975645963e-01
1.526055735531545849e+02,6.759085509689867211e-01
1.531615137118181735e+02,6.712805843628043556e-01
1.537174538704817053e+02,6.709393970590440404e-01
1.542733940291453223e+02,6.738286288002801605e-01
1.548293341878089393e+02,6.756764081865201943e-01
1.553852743464724711e+02,6.482090045693867930e-01
1.559412145051360881e+02,6.407710742895486034e-01
1.564971546637996767e+02,6.074896124439781442e-01
1.570530948224632652e+02,6.058320716979496146e-01
1.576090349811268538e+02,6.068417803341383809e-01
1.581649751397904424e+02,6.067492879399308814e-01
1.587209152984540026e+02,6.027146927055209158e-01
1.592768554571175912e+02,5.985791266676628863e-01
1.598327956157812082e+02,5.963361861254499185e-01
1.603887357744447684e+02,5.942736057856603527e-01
1.609446759331083570e+02,5.928492229448880657e-01
1.615006160917719740e+02,5.891988565726238303e-01
1.620565562504355341e+02,5.879205346596603210e-01
1.626124964090991227e+02,5.866553158309276705e-01
1.631684365677627397e+02,5.859462075091237399e-01
1.637243767264262999e+02,5.836069208279759390e-01
1.642803168850898885e+02,5.818302962581497484e-01
1.648362570437534771e+02,5.820125834678900878e-01
1.653921972024170373e+02,5.791865556290498596e-01
1.659481373610806543e+02,5.761959685998031544e-01
1.665040775197442429e+02,5.749877870658473000e-01
1.670600176784078030e+02,5.798609797666999244e-01
1.676159578370714200e+02,6.067582008627541157e-01
1.681718979957350086e+02,6.227612635947316067e-01
1.687278381543985688e+02,6.114420727993175042e-01
1.692837783130621858e+02,6.166763081289523551e-01
1.698397184717257460e+02,6.104203213254918436e-01
1.703956586303893062e+02,6.008451912528895988e-01
1.709515987890529232e+02,5.920158974997383750e-01
1.715075389477165402e+02,5.936170554601727378e-01
1.720634791063800719e+02,5.903659522888335953e-01
1.726194192650436889e+02,5.941228728084789745e-01
1.731753594237073060e+02,5.912198161769850469e-01
1.737312995823708377e+02,5.973297574105114194e-01
1.742872397410344547e+02,6.001298666693282158e-01
1.748431798996980433e+02,5.961410857289985987e-01
1.753991200583616035e+02,5.993884359727879030e-01
1.759550602170251921e+02,6.004783048333935946e-01
1.765110003756888091e+02,5.992771563486973818e-01
1.770669405343523692e+02,6.025324767985102969e-01
1.776228806930159578e+02,6.063380461430860624e-01
1.781788208516795464e+02,6.071524019731281419e-01
1.787347610103431350e+02,6.055189479785464401e-01
1.792907011690067236e+02,6.081229727413564046e-01
1.798466413276703406e+02,6.074661046817291243e-01
1.804025814863339008e+02,6.096585598973524034e-01
1.809585216449974894e+02,6.102993852056873836e-01
1.815144618036610780e+02,6.366409029837485356e-01
1.820704019623246381e+02,6.396478517472853342e-01
1.826263421209882551e+02,6.697246975990948092e-01
1.831822822796518153e+02,6.691555849258907784e-01
