pair_index,label,diagonal_offset,critical_score,mean_correlation,global_mean_correlation,peak_abs_amplitude
27,"(7,7)-(8,8)",1,0.000000,0.000000,-0.000000,0.000000
25,"(6,6)-(8,8)",2,0.000000,0.000000,-0.000000,0.000000
26,"(6,7)-(7,8)",1,0.000000,0.000000,-0.000000,0.000000
46,"(7,6)-(8,7)",1,0.000000,0.000000,-0.000000,0.000000
4,"(1,5)-(4,8)",3,0.000000,-0.000000,-0.000000,0.000000
33,"(7,1)-(8,2)",1,0.000000,-0.000000,-0.000000,0.000000
3,"(1,4)-(5,8)",4,0.000000,-0.000000,-0.000000,0.000000
24,"(5,7)-(6,8)",1,0.000000,-0.000000,-0.000000,0.000000
