run_name,label,frames_used,bin_spacing_hz,median_psd,max_psd,max_frequency_hz,psd_at_76mhz,psd_db_at_76mhz,psd_at_76p8mhz,psd_db_at_76p8mhz
20260515_092941,Dark noise reference,32,144.958496094,6.3624561186944212e-06,0.038829566969326212,144.95849609375,5.3119232596614601e-05,-42.7474820776,1.057400039695523e-05,-49.7576067763
20260515_133100,Flint2 laser @1030 nm,32,144.958496094,1.1911428423418227e-05,241320.17275270919,76000000,241320.17275270919,53.8259362754,3.7821676497489248e-05,-44.2225922437
20260515_134951,OPO single point @800 nm,32,144.958496094,9.7803372181976792e-06,46428.312016739888,76000000,46428.312016739888,46.6678289441,2.4438107389704587e-05,-46.1193243108
20260515_140509,OPO scanning @800 nm,32,144.958496094,9.1370001652631422e-06,46153.298823693171,76000000,46153.298823693171,46.6420274783,2.1910837301784444e-05,-46.5934102597
20260521_162959,Vacuum highpass filter @780 nm,32,144.958496094,9.8379394755596088e-06,316941.13819978945,76000000,316941.13819978945,55.0097861323,3.4896771730709365e-05,-44.5721474738
