pair_index,label,diagonal_offset,critical_score,mean_correlation,global_mean_correlation,peak_abs_amplitude
10,"(2,5)-(5,8)",3,0.000000,0.000000,0.000000,0.000000
27,"(7,7)-(8,8)",1,0.000000,-0.000000,0.000000,0.000000
4,"(1,5)-(4,8)",3,0.000000,0.000000,0.000000,0.000000
25,"(6,6)-(8,8)",2,0.000000,-0.000000,0.000000,0.000000
11,"(2,6)-(4,8)",2,0.000000,0.000000,0.000000,0.000000
46,"(7,6)-(8,7)",1,0.000000,-0.000000,0.000000,0.000000
9,"(2,4)-(6,8)",4,0.000000,0.000000,0.000000,0.000000
26,"(6,7)-(7,8)",1,0.000000,-0.000000,0.000000,0.000000
