frame_index,frame_number_1based,integrated_time_s,raw_std
198,199,2.742851,0.283595
199,200,2.756634,0.244190
200,201,2.770418,0.146581
201,202,2.784201,0.137555
202,203,2.797984,0.468257
203,204,2.811767,0.333441
204,205,2.825550,0.258571
205,206,2.839333,0.336214
206,207,2.853117,0.488070
207,208,2.866900,0.134679
208,209,2.880683,0.363012
209,210,2.894466,0.234677
210,211,2.908249,0.363626
211,212,2.922033,0.164981
212,213,2.935816,0.183509
213,214,2.949599,0.670373
214,215,2.963382,0.506643
215,216,2.977165,0.221846
216,217,2.990948,0.342089
217,218,3.004732,0.275877
218,219,3.018515,0.286139
219,220,3.032298,0.500063
220,221,3.046081,0.181921
221,222,3.059864,0.516613
222,223,3.073647,0.408544
223,224,3.087431,0.127890
224,225,3.101214,0.388011
225,226,3.114997,0.208190
226,227,3.128780,0.337150
227,228,3.142563,0.342422
228,229,3.156346,0.256414
229,230,3.170130,0.328360
230,231,3.183913,0.240221
231,232,3.197696,0.396012
232,233,3.211479,0.398114
233,234,3.225262,0.249507
234,235,3.239045,0.187608
235,236,3.252829,0.106839
236,237,3.266612,0.247951
237,238,3.280395,0.450311
238,239,3.294178,0.211162
239,240,3.307961,0.175278
240,241,3.321744,0.339066
241,242,3.335528,0.407203
242,243,3.349311,0.387402
243,244,3.363094,0.344429
244,245,3.376877,0.471945
245,246,3.390660,0.454896
246,247,3.404444,0.199519
247,248,3.418227,0.407489
248,249,3.432010,0.271378
249,250,3.445793,0.307688
250,251,3.459576,0.366558
251,252,3.473359,0.283124
252,253,3.487143,0.175079
253,254,3.500926,0.329131
254,255,3.514709,0.184300
255,256,3.528492,0.464218
256,257,3.542275,0.311511
257,258,3.556058,0.265771
258,259,3.569842,0.232553
259,260,3.583625,0.285389
260,261,3.597408,0.334187
261,262,3.611191,0.445279
262,263,3.624974,0.155192
263,264,3.638757,0.193154
264,265,3.652541,0.272994
265,266,3.666324,0.410622
266,267,3.680107,0.166975
267,268,3.693890,0.444264
268,269,3.707673,0.236175
269,270,3.721456,0.159098
270,271,3.735240,0.201642
271,272,3.749023,0.367009
272,273,3.762806,0.336593
273,274,3.776589,0.288712
274,275,3.790372,0.425480
275,276,3.804156,0.295022
276,277,3.817939,0.298164
277,278,3.831722,0.324882
278,279,3.845505,0.246579
279,280,3.859288,0.228305
280,281,3.873071,0.501035
281,282,3.886855,0.309436
282,283,3.900638,0.104280
283,284,3.914421,0.318245
284,285,3.928204,0.182987
285,286,3.941987,0.231955
286,287,3.955770,0.361350
287,288,3.969554,0.192545
288,289,3.983337,0.171393
289,290,3.997120,0.338377
290,291,4.010903,0.173205
291,292,4.024686,0.416150
292,293,4.038469,0.326704
293,294,4.052253,0.589670
294,295,4.066036,0.501603
295,296,4.079819,0.197444
296,297,4.093602,0.527115
297,298,4.107385,0.226196
298,299,4.121168,0.290426
299,300,4.134952,0.185058
300,301,4.148735,0.266287
301,302,4.162518,0.305965
302,303,4.176301,0.273557
303,304,4.190084,0.183493
304,305,4.203868,0.308375
305,306,4.217651,0.313862
306,307,4.231434,0.349618
307,308,4.245217,0.128822
308,309,4.259000,0.301651
309,310,4.272783,0.233630
310,311,4.286567,0.568454
311,312,4.300350,0.330867
312,313,4.314133,0.210466
313,314,4.327916,0.243810
314,315,4.341699,0.271961
315,316,4.355482,0.250284
316,317,4.369266,0.299142
317,318,4.383049,0.267825
318,319,4.396832,0.376768
319,320,4.410615,0.343966
320,321,4.424398,0.492019
321,322,4.438181,0.290504
322,323,4.451965,0.287581
323,324,4.465748,0.325393
324,325,4.479531,0.221563
325,326,4.493314,0.319402
326,327,4.507097,0.352649
327,328,4.520880,0.300571
328,329,4.534664,0.263421
329,330,4.548447,0.245182
330,331,4.562230,0.340562
331,332,4.576013,0.265437
332,333,4.589796,0.277717
333,334,4.603580,0.204482
334,335,4.617363,0.355767
335,336,4.631146,0.263246
336,337,4.644929,0.225625
337,338,4.658712,0.220299
338,339,4.672495,0.302790
339,340,4.686279,0.381519
340,341,4.700062,0.366092
341,342,4.713845,0.229733
342,343,4.727628,0.359874
343,344,4.741411,0.233146
344,345,4.755194,0.275117
345,346,4.768978,0.217213
346,347,4.782761,0.177667
347,348,4.796544,0.277245
348,349,4.810327,0.160771
349,350,4.824110,0.473144
350,351,4.837893,0.405638
351,352,4.851677,0.435180
352,353,4.865460,0.142284
353,354,4.879243,0.336686
354,355,4.893026,0.526160
355,356,4.906809,0.436472
356,357,4.920592,0.384223
357,358,4.934376,0.381635
358,359,4.948159,0.344856
359,360,4.961942,0.319103
360,361,4.975725,0.273868
361,362,4.989508,0.460298
362,363,5.003292,0.352465
363,364,5.017075,0.370924
364,365,5.030858,0.272077
365,366,5.044641,0.189869
366,367,5.058424,0.212287
367,368,5.072207,0.334449
368,369,5.085991,0.316541
369,370,5.099774,0.421406
370,371,5.113557,0.420382
371,372,5.127340,0.247954
372,373,5.141123,0.341549
373,374,5.154906,0.304066
374,375,5.168690,0.375345
375,376,5.182473,0.178416
376,377,5.196256,0.272993
377,378,5.210039,0.294033
378,379,5.223822,0.207670
379,380,5.237605,0.162767
380,381,5.251389,0.230135
381,382,5.265172,0.359536
382,383,5.278955,0.232200
383,384,5.292738,0.318870
384,385,5.306521,0.121625
385,386,5.320304,0.237021
386,387,5.334088,0.459203
387,388,5.347871,0.719866
388,389,5.361654,0.218456
389,390,5.375437,0.267355
390,391,5.389220,0.267954
391,392,5.403003,0.329794
392,393,5.416787,0.200988
393,394,5.430570,0.608482
394,395,5.444353,0.224411
395,396,5.458136,0.279072
396,397,5.471919,0.362415
397,398,5.485703,0.134334
398,399,5.499486,0.254787
399,400,5.513269,0.405240
400,401,5.527052,0.350349
401,402,5.540835,0.364634
402,403,5.554618,0.360048
403,404,5.568402,0.303472
404,405,5.582185,0.252064
405,406,5.595968,0.278693
406,407,5.609751,0.189176
407,408,5.623534,0.342060
408,409,5.637317,0.121725
409,410,5.651101,0.213734
410,411,5.664884,0.213901
411,412,5.678667,0.394715
412,413,5.692450,0.283402
413,414,5.706233,0.312813
414,415,5.720016,0.639414
415,416,5.733800,0.407601
416,417,5.747583,0.467600
417,418,5.761366,0.381514
418,419,5.775149,0.358327
419,420,5.788932,0.357969
420,421,5.802715,0.651562
421,422,5.816499,0.316934
422,423,5.830282,0.392624
423,424,5.844065,0.419079
424,425,5.857848,0.183572
425,426,5.871631,0.214762
426,427,5.885415,0.542303
427,428,5.899198,0.325990
428,429,5.912981,0.242857
429,430,5.926764,0.563486
430,431,5.940547,0.284223
431,432,5.954330,0.325131
432,433,5.968114,0.393134
433,434,5.981897,0.267619
434,435,5.995680,0.473143
435,436,6.009463,0.251852
436,437,6.023246,0.326010
437,438,6.037029,0.162055
438,439,6.050813,0.191484
439,440,6.064596,0.309080
440,441,6.078379,0.202483
441,442,6.092162,0.119871
442,443,6.105945,0.208153
443,444,6.119728,0.225196
444,445,6.133512,0.360803
445,446,6.147295,0.354351
446,447,6.161078,0.354123
447,448,6.174861,0.277926
448,449,6.188644,0.380668
449,450,6.202427,0.362593
450,451,6.216211,0.535840
451,452,6.229994,0.432745
452,453,6.243777,0.192594
453,454,6.257560,0.538482
454,455,6.271343,0.479887
455,456,6.285127,0.336986
456,457,6.298910,0.390847
457,458,6.312693,0.207043
458,459,6.326476,0.407880
459,460,6.340259,0.253518
460,461,6.354042,0.355522
461,462,6.367826,0.172632
462,463,6.381609,0.337055
463,464,6.395392,0.181689
464,465,6.409175,0.210445
465,466,6.422958,0.403529
466,467,6.436741,0.142673
467,468,6.450525,0.190881
468,469,6.464308,0.326130
469,470,6.478091,0.335711
470,471,6.491874,0.342477
471,472,6.505657,0.420930
472,473,6.519440,0.469899
473,474,6.533224,0.235599
474,475,6.547007,0.339881
475,476,6.560790,0.195192
476,477,6.574573,0.430117
477,478,6.588356,0.232926
478,479,6.602139,0.465040
479,480,6.615923,0.240530
480,481,6.629706,0.185292
481,482,6.643489,0.278446
482,483,6.657272,0.214858
483,484,6.671055,0.366824
484,485,6.684839,0.346413
485,486,6.698622,0.452003
486,487,6.712405,0.439354
487,488,6.726188,0.384141
488,489,6.739971,0.354150
489,490,6.753754,0.252708
490,491,6.767538,0.289147
491,492,6.781321,0.348329
492,493,6.795104,0.310863
493,494,6.808887,0.306389
494,495,6.822670,0.145197
495,496,6.836453,0.320172
496,497,6.850237,0.270366
497,498,6.864020,0.394488
498,499,6.877803,0.446637
499,500,6.891586,0.241513
500,501,6.905369,0.413876
501,502,6.919152,0.278434
502,503,6.932936,0.187853
503,504,6.946719,0.293572
